horizon,model,calibration,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
1,ensemble,isotonic,0.6589781005279515,0.31273935505917255,0.0744131695426284,0.39783206288480605,0.33761796613270595,0.060987881612063324,0.09245463269009811,0.7201984126984127,0.7582142857142857,0.6929647565240785,0.07572855099786116,0.0958596283239395,0.043919812261886994,0.10492739329330657
2,ensemble,isotonic,0.6148010839895469,0.25993464716627146,0.00955256944878555,0.19937469937469934,0.15826118326118327,0.00508955020758646,0.009956835807175943,0.5055555555555555,0.8333333333333334,0.19999999999999998,0.0139827322766443,0.006036217303822937,0.01192124463780936,0.00717455016651434
3,ensemble,isotonic,0.5831959769781834,0.2667397706281672,0.05044908096011353,0.16588626976214216,0.10712727687918527,0.026560879749376456,0.04136970991752748,0.4073544698544699,0.3,0.4791666666666667,0.008313799238059921,0.06157940721047517,0.017316017316017316,0.08366984632269828
4,ensemble,isotonic,0.5798879742508574,0.2637251428538168,0.03231527093596059,0.343014410975576,0.23174603174603173,0.020666213181799602,0.03384714860124696,0.5687984496124031,0.3849206349206349,0.6901960784313724,0.011433425907110118,0.04812638116210033,0.011806375442739079,0.05288082083662194
5,ensemble,isotonic,0.5699854410079017,0.2725919982414688,0.050149099090415594,0.398825311942959,0.23039945050815486,0.032991291751734035,0.053298889464754855,0.6568129571577848,0.38888888888888884,0.6793362193362193,0.010252904989747095,0.07870169912840005,0.006177949400116718,0.09423597579053863
1,ensemble,platt,0.6836311890557123,0.27063800743053906,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
2,ensemble,platt,0.6187689927576056,0.25477596166910976,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
3,ensemble,platt,0.6038880883819194,0.2515776138887782,0.0007881773399014778,0.25,0.13333333333333333,0.00048756704046806434,0.0009157509157509158,0.3333333333333333,,0.3333333333333333,0.0,0.0016611295681063123,0.0,0.0015785319652722968
4,ensemble,platt,0.5891490579946997,0.24710936524920166,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
5,ensemble,platt,0.582330290618683,0.24530290136625582,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1,ensemble,raw,0.5588749926164479,0.34300990793275377,0.28851382031378675,0.24758013378529656,0.22841300656220095,0.19125907147978635,0.25658128819381315,0.668308398756328,0.7061165498140288,0.6469346576212028,0.2201561840739581,0.27312944388386035,0.22793121631415317,0.3491730426937032
2,ensemble,raw,0.5102858206365427,0.28957156675847445,0.28198881408098064,0.18038109860748758,0.14055762395972365,0.15113312417950484,0.17768144821251028,0.468365107522169,0.3947592332865825,0.5022304512530076,0.1215806041661448,0.21477246463380276,0.21226413970599145,0.35179421341613776
3,ensemble,raw,0.49893877043577944,0.2845384983810605,0.27804171636567565,0.18634401454105967,0.15637004874489388,0.14868519990086307,0.17907054164523073,0.5712002903439884,0.5541433105963396,0.570410052910053,0.15538174279515077,0.17742370114088996,0.23382991150725133,0.3222840657437909
4,ensemble,raw,0.47293805809511963,0.30406741204854715,0.34059748492817793,0.23000142457852438,0.18817175946001535,0.18844359595755336,0.22767574366663143,0.543132292747486,0.5512359483963333,0.5154785157438277,0.19094506345377424,0.2378677713589397,0.2733167823021959,0.4079714919737812
5,ensemble,raw,0.44841796515237003,0.2946452359426351,0.39424106037866935,0.2120007936769162,0.16260487829722847,0.2093117600578602,0.23706000817647552,0.4868995622247138,0.5114866284509142,0.4722274075335199,0.19828184779112915,0.24763031595728383,0.3094035310396075,0.4792100889828673
1,ensemble,temperature,0.5915969222706515,0.358743553112652,0.22329371466157252,0.2418197355213514,0.2090584099562612,0.1634583643275954,0.23746408580587844,0.6927578095315708,0.7392524142524143,0.6651930392410128,0.20268048247679538,0.25250141769517953,0.16832844651487133,0.27830426957676985
2,ensemble,temperature,0.529901193852112,0.2935201680016006,0.2286141063413946,0.19100629403984845,0.14573208621847206,0.12674299650060922,0.15115510081655054,0.531391098657114,0.46850000997466434,0.6037584309864243,0.10561645941993361,0.17711094824929272,0.15637485642484497,0.3009369783246464
3,ensemble,temperature,0.5301056770457742,0.2780696680815292,0.20480453687137046,0.22764898259432356,0.19980656123696885,0.11130968494496155,0.12926540462939837,0.6429607409498713,0.6594932844932845,0.6296241573552498,0.10711489539599627,0.13393424453642305,0.16816974931081288,0.24145692753933187
