company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2897,724,0.6408839779005525,0.36940772461159727,0.6262023217247098,0.4005982461518676,1,0.1
"Amazon.com, Inc.",2909,727,0.656121045392022,0.37236684883743704,0.5224422442244224,0.3652290412628206,1,0.1
Apple Inc.,2909,727,0.6767537826685007,0.2881405333018236,0.5828382838283828,0.37469613580569705,1,0.1
"Meta Platforms, Inc.",2414,604,0.7235099337748344,0.3559339905811727,0.6838966202783301,0.3667614501808953,1,0.1
Microsoft Corporation,2909,727,0.656121045392022,0.33772989924305713,0.6125412541254125,0.38180697851405787,1,0.1
NVIDIA Corporation,2912,728,0.5233516483516484,0.3273453341132923,0.48943894389438947,0.3501153281031336,1,0.1
"Tesla, Inc.",2796,699,0.630901287553648,0.2924298158616306,0.543298969072165,0.3673506397257421,1,0.1
Alphabet Inc.,2897,724,0.606353591160221,0.33460807951285737,0.5694859038142621,0.3333653736930933,2,0.1
"Amazon.com, Inc.",2909,727,0.6024759284731774,0.2769998091737222,0.4561056105610561,0.2988945641491941,2,0.1
Apple Inc.,2909,727,0.6121045392022009,0.2660046565121041,0.503960396039604,0.3206812260619304,2,0.1
"Meta Platforms, Inc.",2414,604,0.6473509933774835,0.28568731002808084,0.6091451292246521,0.311174665893238,2,0.1
Microsoft Corporation,2909,727,0.6176066024759285,0.29517144334347833,0.526072607260726,0.3284237854906604,2,0.1
NVIDIA Corporation,2912,728,0.49313186813186816,0.3524241634764585,0.37722772277227723,0.2975261190692503,2,0.1
"Tesla, Inc.",2796,699,0.586552217453505,0.27347921081330173,0.45807560137457043,0.30473822830997477,2,0.1
Alphabet Inc.,2897,724,0.5814917127071824,0.30734043191104793,0.5393034825870646,0.332038626901263,3,0.1
"Amazon.com, Inc.",2909,727,0.5969738651994498,0.3313401019177656,0.3815181518151815,0.2791051608833213,3,0.1
Apple Inc.,2909,727,0.5859697386519945,0.27342677182345,0.45115511551155113,0.3080525649057421,3,0.1
"Meta Platforms, Inc.",2414,604,0.6009933774834437,0.28854252764986027,0.5666003976143141,0.29366432297628287,3,0.1
Microsoft Corporation,2909,727,0.6148555708390646,0.30359059874871913,0.44818481848184816,0.29160173010156365,3,0.1
NVIDIA Corporation,2912,728,0.5027472527472527,0.36425148636294447,0.3821782178217822,0.30564117258694895,3,0.1
"Tesla, Inc.",2796,699,0.5765379113018598,0.29195430316925647,0.44020618556701036,0.29789374413058034,3,0.1
Alphabet Inc.,2897,724,0.5552486187845304,0.30078313886260905,0.5230514096185738,0.33026821851397214,4,0.1
"Amazon.com, Inc.",2909,727,0.6052269601100413,0.3461707663033638,0.3920792079207921,0.29097343602227144,4,0.1
Apple Inc.,2909,727,0.5694635488308115,0.24570076786933678,0.463036303630363,0.3180994858324308,4,0.1
"Meta Platforms, Inc.",2414,604,0.5662251655629139,0.2873954502049344,0.4771371769383698,0.27696696491154554,4,0.1
Microsoft Corporation,2909,727,0.6148555708390646,0.30550545556877345,0.48283828382838284,0.29163466841209257,4,0.1
NVIDIA Corporation,2912,728,0.48626373626373626,0.3652584403267676,0.3306930693069307,0.27493092312026446,4,0.1
"Tesla, Inc.",2796,699,0.5736766809728183,0.3324321475625824,0.42302405498281787,0.3070591044440746,4,0.1
Alphabet Inc.,2897,724,0.5511049723756906,0.2990012751056655,0.5107794361525704,0.3040279930167828,5,0.1
"Amazon.com, Inc.",2909,727,0.546079779917469,0.34608402744275996,0.35841584158415846,0.2602710381925369,5,0.1
Apple Inc.,2909,727,0.562585969738652,0.24023494860499264,0.4897689768976898,0.322319301216862,5,0.1
"Meta Platforms, Inc.",2414,604,0.5877483443708609,0.293665261728624,0.4711729622266402,0.27711449607267347,5,0.1
Microsoft Corporation,2909,727,0.5639614855570839,0.299278170351797,0.4858085808580858,0.3099559219558208,5,0.1
NVIDIA Corporation,2912,728,0.4835164835164835,0.36610384907611726,0.3201320132013201,0.2651469538964237,5,0.1
"Tesla, Inc.",2796,699,0.5507868383404864,0.337025085226524,0.3948453608247423,0.2897758618998326,5,0.1
