,company,horizon,down,flat,up
0,Alphabet Inc.,1,0.17886178861788618,0.4796747967479675,0.34146341463414637
1,Alphabet Inc.,1,0.13535353535353536,0.40404040404040403,0.46060606060606063
2,Alphabet Inc.,1,0.0673076923076923,0.27884615384615385,0.6538461538461539
3,"Amazon.com, Inc.",1,0.4351145038167939,0.4122137404580153,0.15267175572519084
4,"Amazon.com, Inc.",1,0.25971370143149286,0.558282208588957,0.18200408997955012
5,"Amazon.com, Inc.",1,0.26666666666666666,0.44761904761904764,0.2857142857142857
6,Apple Inc.,1,0.366412213740458,0.5877862595419847,0.04580152671755725
7,Apple Inc.,1,0.22606924643584522,0.6985743380855397,0.07535641547861507
8,Apple Inc.,1,0.2912621359223301,0.6310679611650486,0.07766990291262135
9,"Meta Platforms, Inc.",1,0.125,0.625,0.25
10,"Meta Platforms, Inc.",1,0.05239179954441914,0.7084282460136674,0.23917995444191345
11,"Meta Platforms, Inc.",1,0.04819277108433735,0.6265060240963856,0.3253012048192771
12,Microsoft Corporation,1,0.34959349593495936,0.4715447154471545,0.17886178861788618
13,Microsoft Corporation,1,0.22515212981744423,0.5801217038539553,0.1947261663286004
14,Microsoft Corporation,1,0.21100917431192662,0.43119266055045874,0.3577981651376147
15,NVIDIA Corporation,1,0.027777777777777776,0.9444444444444444,0.027777777777777776
16,NVIDIA Corporation,1,0.004032258064516129,0.9233870967741935,0.07258064516129033
17,NVIDIA Corporation,1,0.0,0.9098360655737705,0.09016393442622951
18,"Tesla, Inc.",1,0.2900763358778626,0.5038167938931297,0.20610687022900764
19,"Tesla, Inc.",1,0.15536105032822758,0.562363238512035,0.28227571115973743
20,"Tesla, Inc.",1,0.13761467889908258,0.5137614678899083,0.3486238532110092
21,Alphabet Inc.,2,0.10273972602739725,0.6917808219178082,0.2054794520547945
22,Alphabet Inc.,2,0.07252747252747253,0.6901098901098901,0.23736263736263735
23,Alphabet Inc.,2,0.049586776859504134,0.6198347107438017,0.3305785123966942
24,"Amazon.com, Inc.",2,0.3691275167785235,0.47651006711409394,0.15436241610738255
25,"Amazon.com, Inc.",2,0.38202247191011235,0.4786516853932584,0.1393258426966292
26,"Amazon.com, Inc.",2,0.37404580152671757,0.4122137404580153,0.21374045801526717
27,Apple Inc.,2,0.33793103448275863,0.496551724137931,0.16551724137931034
28,Apple Inc.,2,0.25617977528089886,0.5752808988764045,0.16853932584269662
29,Apple Inc.,2,0.26666666666666666,0.5481481481481482,0.18518518518518517
30,"Meta Platforms, Inc.",2,0.30612244897959184,0.5510204081632653,0.14285714285714285
31,"Meta Platforms, Inc.",2,0.15228426395939088,0.6903553299492385,0.15736040609137056
32,"Meta Platforms, Inc.",2,0.18181818181818182,0.6545454545454545,0.16363636363636364
33,Microsoft Corporation,2,0.32857142857142857,0.6142857142857143,0.05714285714285714
34,Microsoft Corporation,2,0.35555555555555557,0.5577777777777778,0.08666666666666667
35,Microsoft Corporation,2,0.32592592592592595,0.4888888888888889,0.18518518518518517
36,NVIDIA Corporation,2,0.08333333333333333,0.9090909090909091,0.007575757575757576
37,NVIDIA Corporation,2,0.045146726862302484,0.945823927765237,0.009029345372460496
38,NVIDIA Corporation,2,0.046357615894039736,0.9337748344370861,0.019867549668874173
39,"Tesla, Inc.",2,0.4716981132075472,0.3584905660377358,0.16981132075471697
40,"Tesla, Inc.",2,0.3195121951219512,0.4951219512195122,0.18536585365853658
41,"Tesla, Inc.",2,0.2734375,0.5625,0.1640625
42,Alphabet Inc.,3,0.03496503496503497,0.6363636363636364,0.32867132867132864
43,Alphabet Inc.,3,0.030303030303030304,0.710955710955711,0.25874125874125875
44,Alphabet Inc.,3,0.03333333333333333,0.6266666666666667,0.34
45,"Amazon.com, Inc.",3,0.2695035460992908,0.5035460992907801,0.22695035460992907
46,"Amazon.com, Inc.",3,0.45393258426966293,0.36629213483146067,0.1797752808988764
47,"Amazon.com, Inc.",3,0.38848920863309355,0.4172661870503597,0.19424460431654678
48,Apple Inc.,3,0.3,0.5571428571428572,0.14285714285714285
49,Apple Inc.,3,0.2800925925925926,0.6041666666666666,0.11574074074074074
50,Apple Inc.,3,0.17647058823529413,0.673202614379085,0.1503267973856209
51,"Meta Platforms, Inc.",3,0.4791666666666667,0.4375,0.08333333333333333
52,"Meta Platforms, Inc.",3,0.31070496083550914,0.5744125326370757,0.11488250652741515
53,"Meta Platforms, Inc.",3,0.3252032520325203,0.4878048780487805,0.18699186991869918
54,Microsoft Corporation,3,0.25384615384615383,0.5230769230769231,0.2230769230769231
55,Microsoft Corporation,3,0.3231441048034934,0.425764192139738,0.25109170305676853
56,Microsoft Corporation,3,0.27007299270072993,0.41605839416058393,0.31386861313868614
57,NVIDIA Corporation,3,0.05673758865248227,0.9148936170212766,0.028368794326241134
