horizon,feature,importance
1,atr_14,0.0
1,bb_lower,0.0
1,bb_middle,0.0
1,bb_upper,0.0
1,lag_0,0.0
1,lag_1,0.0
1,lag_10,0.0
1,lag_11,0.0
1,lag_12,0.0
1,lag_13,0.0
1,lag_14,0.0
1,lag_15,0.0
1,lag_16,0.0
1,lag_17,0.0
1,lag_18,0.0
1,lag_19,0.0
1,lag_2,0.0
1,lag_20,0.0
1,lag_21,0.0
1,lag_22,0.0
1,lag_23,0.0
1,lag_24,0.0
1,lag_25,0.0
1,lag_26,0.0
1,lag_27,0.0
1,lag_28,0.0
1,lag_29,0.0
1,lag_3,0.0
1,lag_4,0.0
1,lag_5,0.0
1,lag_6,0.0
1,lag_7,0.0
1,lag_8,0.0
1,lag_9,0.0
1,lag_ret_1,0.0
1,lag_ret_3,0.0
1,lag_ret_5,0.0
1,log_ret_vol,0.0
1,rel_vol_20,0.0
1,rolling_vol_20,0.0
1,rsi_14,0.0
2,atr_14,0.0
2,bb_lower,0.0
2,bb_middle,0.0
2,bb_upper,0.0
2,lag_0,0.0
2,lag_1,0.0
2,lag_10,0.0
2,lag_11,0.0
2,lag_12,0.0
2,lag_13,0.0
2,lag_14,0.0
2,lag_15,0.0
2,lag_16,0.0
2,lag_17,0.0
2,lag_18,0.0
2,lag_19,0.0
2,lag_2,0.0
2,lag_20,0.0
2,lag_21,0.0
2,lag_22,0.0
2,lag_23,0.0
2,lag_24,0.0
2,lag_25,0.0
2,lag_26,0.0
2,lag_27,0.0
2,lag_28,0.0
2,lag_29,0.0
2,lag_3,0.0
2,lag_4,0.0
2,lag_5,0.0
2,lag_6,0.0
2,lag_7,0.0
2,lag_8,0.0
2,lag_9,0.0
2,lag_ret_1,0.0
2,lag_ret_3,0.0
2,lag_ret_5,0.0
2,log_ret_vol,0.0
2,rel_vol_20,0.0
2,rolling_vol_20,0.0
2,rsi_14,0.0
3,atr_14,0.0
3,bb_lower,0.0
3,bb_middle,0.0
3,bb_upper,0.0
3,lag_0,0.0
3,lag_1,0.0
3,lag_10,0.0
3,lag_11,0.0
3,lag_12,0.0
3,lag_13,0.0
3,lag_14,0.0
3,lag_15,0.0
3,lag_16,0.0
3,lag_17,0.0
3,lag_18,0.0
3,lag_19,0.0
3,lag_2,0.0
3,lag_20,0.0
3,lag_21,0.0
3,lag_22,0.0
3,lag_23,0.0
3,lag_24,0.0
3,lag_25,0.0
3,lag_26,0.0
3,lag_27,0.0
3,lag_28,0.0
3,lag_29,0.0
3,lag_3,0.0
3,lag_4,0.0
3,lag_5,0.0
3,lag_6,0.0
3,lag_7,0.0
3,lag_8,0.0
3,lag_9,0.0
3,lag_ret_1,0.0
3,lag_ret_3,0.0
3,lag_ret_5,0.0
3,log_ret_vol,0.0
3,rel_vol_20,0.0
3,rolling_vol_20,0.0
3,rsi_14,0.0
4,atr_14,0.0
4,bb_lower,0.0
4,bb_middle,0.0
4,bb_upper,0.0
4,lag_0,0.0
4,lag_1,0.0
4,lag_10,0.0
4,lag_11,0.0
4,lag_12,0.0
4,lag_13,0.0
4,lag_14,0.0
4,lag_15,0.0
4,lag_16,0.0
4,lag_17,0.0
4,lag_18,0.0
4,lag_19,0.0
4,lag_2,0.0
4,lag_20,0.0
4,lag_21,0.0
4,lag_22,0.0
4,lag_23,0.0
4,lag_24,0.0
4,lag_25,0.0
4,lag_26,0.0
4,lag_27,0.0
4,lag_28,0.0
4,lag_29,0.0
4,lag_3,0.0
4,lag_4,0.0
4,lag_5,0.0
4,lag_6,0.0
4,lag_7,0.0
4,lag_8,0.0
4,lag_9,0.0
4,lag_ret_1,0.0
4,lag_ret_3,0.0
4,lag_ret_5,0.0
4,log_ret_vol,0.0
4,rel_vol_20,0.0
4,rolling_vol_20,0.0
4,rsi_14,0.0
5,atr_14,0.0
5,bb_lower,0.0
5,bb_middle,0.0
5,bb_upper,0.0
5,lag_0,0.0
5,lag_1,0.0
5,lag_10,0.0
5,lag_11,0.0
5,lag_12,0.0
5,lag_13,0.0
5,lag_14,0.0
5,lag_15,0.0
5,lag_16,0.0
5,lag_17,0.0
5,lag_18,0.0
5,lag_19,0.0
5,lag_2,0.0
5,lag_20,0.0
5,lag_21,0.0
5,lag_22,0.0
5,lag_23,0.0
5,lag_24,0.0
5,lag_25,0.0
5,lag_26,0.0
5,lag_27,0.0
5,lag_28,0.0
5,lag_29,0.0
5,lag_3,0.0
5,lag_4,0.0
5,lag_5,0.0
5,lag_6,0.0
5,lag_7,0.0
5,lag_8,0.0
5,lag_9,0.0
5,lag_ret_1,0.0
5,lag_ret_3,0.0
5,lag_ret_5,0.0
5,log_ret_vol,0.0
5,rel_vol_20,0.0
5,rolling_vol_20,0.0
5,rsi_14,0.0
