company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2897,724,0.5179558011049724,0.3831039120005127,0.6262023217247098,0.4005982461518676,1,0.1
"Amazon.com, Inc.",2909,727,0.5955983493810179,0.42109918638075156,0.5224422442244224,0.3652290412628206,1,0.1
Apple Inc.,2909,727,0.6437414030261348,0.40134080107925524,0.5828382838283828,0.37469613580569705,1,0.1
"Meta Platforms, Inc.",2414,604,0.6937086092715232,0.3966453064805278,0.6838966202783301,0.3667614501808953,1,0.1
Microsoft Corporation,2909,727,0.5419532324621733,0.37187628607653206,0.6125412541254125,0.38180697851405787,1,0.1
NVIDIA Corporation,2912,728,0.49725274725274726,0.33795198331233695,0.48943894389438947,0.3501153281031336,1,0.1
"Tesla, Inc.",2796,699,0.580829756795422,0.38975406829467324,0.543298969072165,0.3673506397257421,1,0.1
Alphabet Inc.,2897,724,0.537292817679558,0.33207340231229066,0.5694859038142621,0.3333653736930933,2,0.1
"Amazon.com, Inc.",2909,727,0.5144429160935351,0.33647707245702124,0.4561056105610561,0.2988945641491941,2,0.1
Apple Inc.,2909,727,0.5722145804676754,0.35797382693934415,0.503960396039604,0.3206812260619304,2,0.1
"Meta Platforms, Inc.",2414,604,0.6142384105960265,0.33229297584136297,0.6091451292246521,0.311174665893238,2,0.1
Microsoft Corporation,2909,727,0.5144429160935351,0.31455108359133127,0.526072607260726,0.3284237854906604,2,0.1
NVIDIA Corporation,2912,728,0.4766483516483517,0.36155062836108476,0.37722772277227723,0.2975261190692503,2,0.1
"Tesla, Inc.",2796,699,0.5121602288984263,0.35553062411701153,0.45807560137457043,0.30473822830997477,2,0.1
Alphabet Inc.,2897,724,0.5220994475138122,0.3230504136601497,0.5393034825870646,0.332038626901263,3,0.1
"Amazon.com, Inc.",2909,727,0.4511691884456671,0.33776904080834963,0.3815181518151815,0.2791051608833213,3,0.1
Apple Inc.,2909,727,0.4401650618982118,0.35538662087464434,0.45115511551155113,0.3080525649057421,3,0.1
"Meta Platforms, Inc.",2414,604,0.5447019867549668,0.3332364327000877,0.5666003976143141,0.29366432297628287,3,0.1
Microsoft Corporation,2909,727,0.5281980742778541,0.3166268133269568,0.44818481848184816,0.29160173010156365,3,0.1
NVIDIA Corporation,2912,728,0.4766483516483517,0.36071812001326303,0.3821782178217822,0.30564117258694895,3,0.1
"Tesla, Inc.",2796,699,0.5493562231759657,0.3579391319492429,0.44020618556701036,0.29789374413058034,3,0.1
Alphabet Inc.,2897,724,0.511049723756906,0.32661842438147326,0.5230514096185738,0.33026821851397214,4,0.1
"Amazon.com, Inc.",2909,727,0.4731774415405777,0.3539004033203938,0.3920792079207921,0.29097343602227144,4,0.1
Apple Inc.,2909,727,0.5240715268225584,0.27793101706046675,0.463036303630363,0.3180994858324308,4,0.1
"Meta Platforms, Inc.",2414,604,0.5298013245033113,0.3277925689940709,0.4771371769383698,0.27696696491154554,4,0.1
Microsoft Corporation,2909,727,0.5378266850068776,0.3123725500840246,0.48283828382838284,0.29163466841209257,4,0.1
NVIDIA Corporation,2912,728,0.49175824175824173,0.3937554110529207,0.3306930693069307,0.27493092312026446,4,0.1
"Tesla, Inc.",2796,699,0.5207439198855508,0.3556233722485187,0.42302405498281787,0.3070591044440746,4,0.1
Alphabet Inc.,2897,724,0.5096685082872928,0.32409819243823507,0.5107794361525704,0.3040279930167828,5,0.1
"Amazon.com, Inc.",2909,727,0.422283356258597,0.3358740069227896,0.35841584158415846,0.2602710381925369,5,0.1
Apple Inc.,2909,727,0.5447042640990372,0.2845288688735365,0.4897689768976898,0.322319301216862,5,0.1
"Meta Platforms, Inc.",2414,604,0.5612582781456954,0.34172098248107136,0.4711729622266402,0.27711449607267347,5,0.1
Microsoft Corporation,2909,727,0.4924346629986245,0.3076609373756664,0.4858085808580858,0.3099559219558208,5,0.1
NVIDIA Corporation,2912,728,0.4684065934065934,0.3660302067169328,0.3201320132013201,0.2651469538964237,5,0.1
"Tesla, Inc.",2796,699,0.5064377682403434,0.3502570265664477,0.3948453608247423,0.2897758618998326,5,0.1
