,company,horizon,down,flat,up
0,Alphabet Inc.,1,0.07317073170731707,0.7479674796747967,0.17886178861788618
1,Alphabet Inc.,1,0.022132796780684104,0.7625754527162978,0.2152917505030181
2,Alphabet Inc.,1,0.009615384615384616,0.5673076923076923,0.4230769230769231
3,"Amazon.com, Inc.",1,0.1297709923664122,0.8015267175572519,0.06870229007633588
4,"Amazon.com, Inc.",1,0.06924643584521385,0.8635437881873728,0.06720977596741344
5,"Amazon.com, Inc.",1,0.08571428571428572,0.780952380952381,0.13333333333333333
6,Apple Inc.,1,0.10606060606060606,0.8560606060606061,0.03787878787878788
7,Apple Inc.,1,0.024390243902439025,0.9613821138211383,0.014227642276422764
8,Apple Inc.,1,0.02912621359223301,0.9320388349514563,0.038834951456310676
9,"Meta Platforms, Inc.",1,0.10975609756097561,0.8536585365853658,0.036585365853658534
10,"Meta Platforms, Inc.",1,0.022779043280182234,0.9430523917995444,0.03416856492027335
11,"Meta Platforms, Inc.",1,0.024096385542168676,0.9036144578313253,0.07228915662650602
12,Microsoft Corporation,1,0.04065040650406504,0.7886178861788617,0.17073170731707318
13,Microsoft Corporation,1,0.014141414141414142,0.8282828282828283,0.15757575757575756
14,Microsoft Corporation,1,0.01834862385321101,0.6697247706422018,0.3119266055045872
15,NVIDIA Corporation,1,0.018518518518518517,0.6481481481481481,0.3333333333333333
16,NVIDIA Corporation,1,0.014056224899598393,0.6325301204819277,0.3534136546184739
17,NVIDIA Corporation,1,0.0,0.5163934426229508,0.48360655737704916
18,"Tesla, Inc.",1,0.12213740458015267,0.8549618320610687,0.022900763358778626
19,"Tesla, Inc.",1,0.06331877729257641,0.9082969432314411,0.028384279475982533
20,"Tesla, Inc.",1,0.02727272727272727,0.9090909090909091,0.06363636363636363
21,Alphabet Inc.,2,0.00684931506849315,0.7534246575342466,0.23972602739726026
22,Alphabet Inc.,2,0.002188183807439825,0.8402625820568927,0.1575492341356674
23,Alphabet Inc.,2,0.0,0.743801652892562,0.256198347107438
24,"Amazon.com, Inc.",2,0.03333333333333333,0.9,0.06666666666666667
25,"Amazon.com, Inc.",2,0.02914798206278027,0.9147982062780269,0.05605381165919283
