delta,horizon,margin_p50,margin_p75,margin_p90,margin_p95
0.0,1,-0.1114538613616603,0.023412132658571873,0.18638292652318225,0.31679597299831014
0.0,2,-0.11472196529534989,0.006493373351372,0.13456908889660635,0.28940996839809824
0.0,3,-0.1067529404170279,0.0396002656707702,0.16119529842577274,0.2752366819108118
0.0,4,-0.1300282366985389,0.019702455784637925,0.1913694520043028,0.320996571121728
0.0,5,-0.13677068060854142,0.0401622484924065,0.23582223974437685,0.33421000496585496
0.02,1,-0.11145386136166036,0.023412132658571824,0.1863829265231823,0.3167959729983101
0.02,2,-0.11472196529534989,0.006493373351372,0.13456908889660646,0.28940996839809824
0.02,3,-0.1067529404170279,0.03960026567077017,0.16119529842577285,0.27523668191081185
0.02,4,-0.1300282366985389,0.01970245578463795,0.1913694520043028,0.320996571121728
0.02,5,-0.13677068060854136,0.04016224849240658,0.23582223974437685,0.33421000496585496
0.05,1,-0.1114538613616603,0.0234121326585718,0.1863829265231824,0.3167959729983101
0.05,2,-0.11472196529534989,0.006493373351372,0.13456908889660646,0.28940996839809824
0.05,3,-0.10675294041702785,0.0396002656707702,0.16119529842577274,0.2752366819108118
0.05,4,-0.13002823669853897,0.019702455784638,0.1913694520043028,0.320996571121728
0.05,5,-0.13677068060854142,0.04016224849240658,0.23582223974437685,0.33421000496585496
0.08,1,-0.1114538613616603,0.0234121326585718,0.18638292652318225,0.3167959729983101
0.08,2,-0.11472196529534989,0.006493373351372,0.13456908889660646,0.28940996839809824
0.08,3,-0.10675294041702785,0.0396002656707702,0.16119529842577285,0.2752366819108117
0.08,4,-0.1300282366985389,0.019702455784638,0.1913694520043028,0.320996571121728
0.08,5,-0.13677068060854142,0.0401622484924065,0.23582223974437685,0.33421000496585496
0.1,1,-0.1114538613616603,0.0234121326585718,0.18638292652318225,0.31679597299831014
0.1,2,-0.11472196529534989,0.006493373351372,0.13456908889660646,0.28940996839809824
0.1,3,-0.10675294041702785,0.0396002656707702,0.1611952984257728,0.2752366819108118
0.1,4,-0.1300282366985389,0.019702455784638,0.1913694520043028,0.320996571121728
0.1,5,-0.13677068060854142,0.040162248492406544,0.23582223974437685,0.33421000496585496
0.15,1,-0.11145386136166036,0.023412132658571873,0.18638292652318225,0.3167959729983101
0.15,2,-0.11472196529534989,0.006493373351372,0.1345690888966064,0.28940996839809824
0.15,3,-0.10675294041702785,0.0396002656707702,0.1611952984257728,0.2752366819108118
0.15,4,-0.1300282366985389,0.019702455784638,0.1913694520043028,0.320996571121728
0.15,5,-0.13677068060854142,0.04016224849240658,0.23582223974437685,0.33421000496585496
