delta,horizon,operable_share,operable_accuracy,recall_down,recall_up,recall_directional_avg
0.0,1,0.2909238249594814,0.25487465181058494,0.1614457831325301,0.31521739130434784,0.23371647509578544
0.0,2,0.26175040518638576,0.24071207430340558,0.10585817060637205,0.22807017543859648,0.1649867374005305
0.0,3,0.3180713128038898,0.23439490445859873,0.14390756302521007,0.22962226640159045,0.18794688457609807
0.0,4,0.27653970826580226,0.25347985347985347,0.11316872427983539,0.2239089184060721,0.17077986179664364
0.0,5,0.2923419773095624,0.25363825363825365,0.11468812877263582,0.23639774859287055,0.17766990291262136
0.02,1,0.25729335494327393,0.2614173228346457,0.13734939759036144,0.296195652173913,0.2120051085568327
0.02,2,0.22710696920583467,0.23728813559322035,0.08530318602261049,0.20065789473684212,0.14111405835543767
0.02,3,0.2850486223662885,0.23596304193319118,0.12394957983193278,0.21272365805168986,0.16956077630234934
0.02,4,0.24959481361426256,0.2556818181818182,0.10596707818930041,0.20113851992409867,0.1554787759131293
0.02,5,0.2678282009724473,0.2526475037821483,0.10663983903420524,0.21388367729831145,0.16213592233009708
0.05,1,0.21454619124797406,0.26628895184135976,0.10722891566265061,0.26222826086956524,0.18007662835249041
0.05,2,0.1776742301458671,0.24173318129988597,0.05960945529290853,0.16885964912280702,0.11246684350132626
0.05,3,0.23318476499189628,0.24847958297132927,0.09558823529411764,0.19383697813121273,0.14606741573033707
0.05,4,0.21414100486223664,0.2630085146641438,0.08950617283950617,0.18121442125237192,0.1372161895360316
0.05,5,0.23987034035656402,0.2592905405405405,0.09859154929577464,0.19606003752345216,0.14902912621359224
0.08,1,0.18192868719611022,0.267260579064588,0.08674698795180723,0.22826086956521738,0.1532567049808429
0.08,2,0.14444894651539708,0.2482468443197756,0.040082219938335044,0.1513157894736842,0.09389920424403184
0.08,3,0.1898298217179903,0.24653148345784417,0.07457983193277311,0.15904572564612326,0.11797752808988764
0.08,4,0.1859805510534846,0.2679738562091503,0.08024691358024691,0.15939278937381404,0.12142152023692004
0.08,5,0.21150729335494328,0.2653256704980843,0.09154929577464789,0.17448405253283303,0.13446601941747574
0.1,1,0.16025121555915722,0.26169405815423513,0.07228915662650602,0.19972826086956522,0.13218390804597702
0.1,2,0.1258103727714749,0.2560386473429952,0.03597122302158273,0.13596491228070176,0.0843501326259947
0.1,3,0.16308752025931927,0.26211180124223604,0.06197478991596639,0.15109343936381708,0.10776302349336057
0.1,4,0.16612641815235007,0.2731707317073171,0.07304526748971193,0.14516129032258066,0.11056268509378085
0.1,5,0.19226094003241492,0.2760800842992624,0.08551307847082495,0.16604127579737335,0.12718446601941746
0.15,1,0.11932739059967586,0.2597623089983022,0.03975903614457831,0.16304347826086957,0.09770114942528736
0.15,2,0.08833063209076175,0.2775229357798165,0.020554984583761562,0.11074561403508772,0.06419098143236074
0.15,3,0.10818476499189628,0.28651685393258425,0.04096638655462185,0.11332007952286283,0.07814096016343207
0.15,4,0.12479740680713128,0.29707792207792205,0.06172839506172839,0.11669829222011385,0.09032576505429418
0.15,5,0.15437601296596434,0.28083989501312334,0.0744466800804829,0.13133208255159476,0.10388349514563107
