company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2897,724,0.4116022099447514,0.3645483785262469,0.4669983416252073,0.3771000034447976,1,0.1
"Amazon.com, Inc.",2909,727,0.4154057771664374,0.3961960964316105,0.3821782178217822,0.34794430763665374,1,0.1
Apple Inc.,2909,727,0.4896836313617607,0.4230102343607472,0.4419141914191419,0.3650900546606501,1,0.1
"Meta Platforms, Inc.",2414,604,0.4900662251655629,0.39897423296097717,0.47276341948310135,0.3912050976375764,1,0.1
Microsoft Corporation,2909,727,0.40440165061898214,0.3828738266594054,0.4105610561056106,0.36557193309430996,1,0.1
NVIDIA Corporation,2912,728,0.4010989010989011,0.37923667848333276,0.38811881188118813,0.35933895407161603,1,0.1
"Tesla, Inc.",2796,699,0.44778254649499283,0.42522889445171447,0.447766323024055,0.3581826058733671,1,0.1
Alphabet Inc.,2897,724,0.38535911602209943,0.33731568811416723,0.3940298507462687,0.340547921804759,2,0.1
"Amazon.com, Inc.",2909,727,0.3425034387895461,0.34224728431803997,0.3419141914191419,0.31633760145582956,2,0.1
Apple Inc.,2909,727,0.390646492434663,0.3711153652192484,0.3973597359735974,0.3110453247548026,2,0.1
"Meta Platforms, Inc.",2414,604,0.3990066225165563,0.3453932450173052,0.36381709741550694,0.28984705042982023,2,0.1
Microsoft Corporation,2909,727,0.3892709766162311,0.3063441040904776,0.3907590759075908,0.3129316524371701,2,0.1
NVIDIA Corporation,2912,728,0.3543956043956044,0.3359519167004177,0.3201320132013201,0.2843111367265542,2,0.1
"Tesla, Inc.",2796,699,0.40915593705293274,0.38271948594486743,0.3762886597938145,0.33153466358680966,2,0.1
Alphabet Inc.,2897,724,0.4005524861878453,0.30625301989095177,0.3844112769485904,0.32617479354803935,3,0.1
"Amazon.com, Inc.",2909,727,0.35213204951856947,0.346095413915617,0.31353135313531355,0.2726666815167277,3,0.1
Apple Inc.,2909,727,0.33975240715268223,0.32879115546792176,0.3429042904290429,0.29560181670951097,3,0.1
"Meta Platforms, Inc.",2414,604,0.3791390728476821,0.33475438194420165,0.34870775347912525,0.27722681939429805,3,0.1
Microsoft Corporation,2909,727,0.39614855570839064,0.32725247741675134,0.3554455445544555,0.2823368259513721,3,0.1
NVIDIA Corporation,2912,728,0.41483516483516486,0.3666212174621659,0.3194719471947195,0.2778372958491829,3,0.1
"Tesla, Inc.",2796,699,0.3719599427753934,0.3562967536142409,0.356701030927835,0.3085298314571056,3,0.1
Alphabet Inc.,2897,724,0.3839779005524862,0.2802186607645091,0.3472636815920398,0.28987515015913,4,0.1
"Amazon.com, Inc.",2909,727,0.3177441540577717,0.31338477771262524,0.31716171617161715,0.26993488639988106,4,0.1
Apple Inc.,2909,727,0.3535075653370014,0.33460245546759415,0.3415841584158416,0.29715629152073786,4,0.1
"Meta Platforms, Inc.",2414,604,0.3658940397350993,0.3129778502350527,0.34552683896620273,0.2657026600791753,4,0.1
Microsoft Corporation,2909,727,0.39614855570839064,0.3020739792512695,0.3432343234323432,0.2797682398460649,4,0.1
NVIDIA Corporation,2912,728,0.42445054945054944,0.3511369617961149,0.31419141914191423,0.2699247923828553,4,0.1
"Tesla, Inc.",2796,699,0.3948497854077253,0.3809066515909379,0.3443298969072165,0.3026214185298751,4,0.1
Alphabet Inc.,2897,724,0.40193370165745856,0.30557667095490976,0.35953565505804314,0.2742663260099524,5,0.1
"Amazon.com, Inc.",2909,727,0.35900962861072905,0.3527556464656656,0.31749174917491746,0.25577171708561053,5,0.1
Apple Inc.,2909,727,0.33700137551581844,0.28974337976093195,0.35544554455445543,0.3249458020143289,5,0.1
"Meta Platforms, Inc.",2414,604,0.32450331125827814,0.2892262864935058,0.3308151093439364,0.2747819279722116,5,0.1
Microsoft Corporation,2909,727,0.33837689133425036,0.3377389748275504,0.3597359735973597,0.31143243742965715,5,0.1
NVIDIA Corporation,2912,728,0.4271978021978022,0.3874617737003058,0.31386138613861386,0.262726338524416,5,0.1
"Tesla, Inc.",2796,699,0.34334763948497854,0.3256597547262848,0.35326460481099653,0.30664429763092793,5,0.1
