horizon,feature,importance
1,lag_0,0.25935784649587246
1,lag_2,0.18766803233261742
1,lag_9,0.1858061923531103
1,lag_8,0.17627119227641758
1,lag_7,0.17037239798137968
1,lag_ret_1,0.16481375410803348
1,lag_6,0.15156064797201915
1,lag_5,0.15085713069499881
1,bb_lower,0.14148036722368182
1,lag_4,0.13607334438985116
1,lag_1,0.13589595144202274
1,bb_upper,0.12381056948391181
1,bb_middle,0.10241675663948405
1,lag_3,0.09325644666728021
1,rel_vol_20,0.08375985363755437
1,atr_14,0.07024043115844704
1,lag_ret_3,0.06478208065752916
1,log_ret_vol,0.06168752071919997
1,lag_ret_5,0.060770937337953815
1,rolling_vol_20,0.05178666608988158
1,rsi_14,0.051242912105652585
2,lag_5,0.18682800690599932
2,lag_0,0.17936717717103542
2,bb_lower,0.17366037683754212
2,lag_2,0.1579764575113957
2,bb_upper,0.14445184524522628
2,lag_9,0.13532922168916434
2,lag_7,0.13012489204163297
2,lag_8,0.12635902930296225
2,lag_4,0.1262583244709669
2,lag_1,0.12154928397448787
2,lag_ret_1,0.11274460820475565
2,lag_3,0.10780342537981162
2,lag_6,0.10628037894377983
2,atr_14,0.08890698591257913
2,bb_middle,0.08843763163446032
2,lag_ret_3,0.06599623241890931
2,rel_vol_20,0.06101354271477094
2,rolling_vol_20,0.05940013111161358
2,lag_ret_5,0.059361960564566225
2,rsi_14,0.050312088036661685
2,log_ret_vol,0.04785575014393073
3,bb_upper,0.19383766511593128
3,bb_lower,0.19249536053665176
3,lag_4,0.1889502780147066
3,lag_0,0.16684621977723943
3,lag_5,0.1515920616099338
3,lag_1,0.14406429348073724
3,lag_7,0.1413972439723972
3,lag_8,0.13443505325710356
3,lag_6,0.12915509801988204
3,lag_2,0.12461471260027016
3,lag_9,0.12341318746905068
3,lag_3,0.1130689966617924
3,bb_middle,0.09998338311685585
3,atr_14,0.09387425412632484
3,lag_ret_1,0.08426215000451831
3,rolling_vol_20,0.06099701365904767
3,rsi_14,0.05757913298445917
3,lag_ret_5,0.056090995711728
3,rel_vol_20,0.05597697017109028
3,lag_ret_3,0.050655910295068676
3,log_ret_vol,0.03924281928274675
4,bb_lower,0.21148636492178388
4,lag_7,0.18571240078307624
4,lag_0,0.1750163973601023
4,lag_1,0.16612794302913494
4,bb_upper,0.16578138987549426
4,lag_8,0.15769028745920238
4,lag_2,0.13564564396862325
4,lag_5,0.13346823346574394
4,lag_4,0.1326836183921051
4,lag_3,0.1301928927418877
4,lag_9,0.12669557008376156
4,lag_6,0.12356510625538815
4,bb_middle,0.11001738184553365
4,atr_14,0.09430760137223594
4,lag_ret_1,0.07067949397304403
4,rolling_vol_20,0.06495418291579648
4,lag_ret_5,0.0600852784630944
4,rsi_14,0.05370299586128846
4,rel_vol_20,0.045102941059755576
4,lag_ret_3,0.04249130997674647
4,log_ret_vol,0.03531918709999621
5,bb_lower,0.25545614169747227
5,bb_upper,0.21064890836788527
5,lag_0,0.18129487782974638
5,lag_7,0.1585615027023648
5,lag_9,0.15765482328039773
5,lag_8,0.1565005318276107
5,lag_5,0.14484888586658753
5,lag_1,0.14209313438415722
5,lag_2,0.139333194564261
5,lag_6,0.1339794411756366
5,lag_4,0.10764522295157433
5,bb_middle,0.10745794145343805
5,atr_14,0.0986891015870642
5,lag_3,0.07702374395250587
5,rolling_vol_20,0.0695291837844948
5,lag_ret_1,0.06031555296345749
5,rsi_14,0.05537024586757622
5,lag_ret_5,0.05425271297775623
5,rel_vol_20,0.04496637319493788
5,lag_ret_3,0.03813000310906684
5,log_ret_vol,0.03451719877868729
