horizon,acc_test,f1_macro_test,flat_threshold_pct,atr_up_multiplier,atr_down_multiplier
1,0.43714870597876976,0.39572404883914775,0.05,0.4,0.30000000000000004
2,0.38147688397537616,0.3458695842006462,0.05,0.4,0.30000000000000004
3,0.3792170970036754,0.33800920281597857,0.05,0.4,0.30000000000000004
4,0.37665322146414626,0.3250430481168719,0.05,0.4,0.30000000000000004
5,0.36162433572275926,0.32688035527559345,0.05,0.4,0.30000000000000004
1,0.5070668018029224,0.38747687377411744,0.05,0.5,0.4
2,0.4435092572975193,0.3461830880330216,0.05,0.5,0.4
3,0.4189461662231241,0.3293766681237215,0.05,0.5,0.4
4,0.430000348632008,0.33507863772453966,0.05,0.5,0.4
5,0.4370548815566092,0.32144572908845764,0.05,0.5,0.4
1,0.5815771284705702,0.3859673633749413,0.05,0.6,0.5
2,0.5344914602110155,0.3414928019456352,0.05,0.6,0.5
3,0.5017626191021185,0.3406752247618134,0.05,0.6,0.5
4,0.5126326947534319,0.3354276781631241,0.05,0.6,0.5
5,0.5007419187765977,0.3300243173392399,0.05,0.6,0.5
1,0.43714870597876976,0.39572404883914775,0.1,0.4,0.30000000000000004
2,0.38147688397537616,0.3458695842006462,0.1,0.4,0.30000000000000004
3,0.3792170970036754,0.33800920281597857,0.1,0.4,0.30000000000000004
4,0.37665322146414626,0.3250430481168719,0.1,0.4,0.30000000000000004
5,0.36162433572275926,0.32688035527559345,0.1,0.4,0.30000000000000004
1,0.5070668018029224,0.38747687377411744,0.1,0.5,0.4
2,0.4435092572975193,0.3461830880330216,0.1,0.5,0.4
3,0.4189461662231241,0.3293766681237215,0.1,0.5,0.4
4,0.430000348632008,0.33507863772453966,0.1,0.5,0.4
5,0.4370548815566092,0.32144572908845764,0.1,0.5,0.4
1,0.5815771284705702,0.3859673633749413,0.1,0.6,0.5
2,0.5344914602110155,0.3414928019456352,0.1,0.6,0.5
3,0.5017626191021185,0.3406752247618134,0.1,0.6,0.5
4,0.5126326947534319,0.3354276781631241,0.1,0.6,0.5
5,0.5007419187765977,0.3300243173392399,0.1,0.6,0.5
1,0.43714870597876976,0.39572404883914775,0.15,0.4,0.30000000000000004
2,0.38147688397537616,0.3458695842006462,0.15,0.4,0.30000000000000004
3,0.3792170970036754,0.33800920281597857,0.15,0.4,0.30000000000000004
4,0.37665322146414626,0.3250430481168719,0.15,0.4,0.30000000000000004
5,0.36162433572275926,0.32688035527559345,0.15,0.4,0.30000000000000004
1,0.5070668018029224,0.38747687377411744,0.15,0.5,0.4
2,0.4435092572975193,0.3461830880330216,0.15,0.5,0.4
3,0.4189461662231241,0.3293766681237215,0.15,0.5,0.4
4,0.430000348632008,0.33507863772453966,0.15,0.5,0.4
5,0.4370548815566092,0.32144572908845764,0.15,0.5,0.4
1,0.5815771284705702,0.3859673633749413,0.15,0.6,0.5
2,0.5344914602110155,0.3414928019456352,0.15,0.6,0.5
3,0.5017626191021185,0.3406752247618134,0.15,0.6,0.5
4,0.5126326947534319,0.3354276781631241,0.15,0.6,0.5
5,0.5007419187765977,0.3300243173392399,0.15,0.6,0.5
