country,indicator,date,value,unit
china,balance-of-trade,1981-01-01,-0.22,USD Billion
china,balance-of-trade,1981-02-01,-0.49,USD Billion
china,balance-of-trade,1981-03-01,-0.74,USD Billion
china,balance-of-trade,1981-04-01,-0.48,USD Billion
china,balance-of-trade,1981-05-01,-0.54,USD Billion
china,balance-of-trade,1981-06-01,-0.09,USD Billion
china,balance-of-trade,1981-07-01,0.51,USD Billion
china,balance-of-trade,1981-08-01,0.12,USD Billion
china,balance-of-trade,1981-09-01,0.47,USD Billion
china,balance-of-trade,1981-10-01,0.66,USD Billion
china,balance-of-trade,1981-11-01,0.22,USD Billion
china,balance-of-trade,1981-12-01,0.56,USD Billion
china,balance-of-trade,1982-01-01,0.29,USD Billion
china,balance-of-trade,1982-02-01,0.12,USD Billion
china,balance-of-trade,1982-03-01,0.35,USD Billion
china,balance-of-trade,1982-04-01,-0.16,USD Billion
china,balance-of-trade,1982-05-01,0.23,USD Billion
china,balance-of-trade,1982-06-01,0.26,USD Billion
china,balance-of-trade,1982-07-01,0.27,USD Billion
china,balance-of-trade,1982-08-01,0.25,USD Billion
china,balance-of-trade,1982-09-01,0.38,USD Billion
china,balance-of-trade,1982-10-01,0.11,USD Billion
china,balance-of-trade,1982-11-01,0.32,USD Billion
china,balance-of-trade,1982-12-01,0.56,USD Billion
china,balance-of-trade,1983-01-01,-0.06,USD Billion
china,balance-of-trade,1983-02-01,-0.14,USD Billion
china,balance-of-trade,1983-03-01,0.14,USD Billion
china,balance-of-trade,1983-04-01,-0.07,USD Billion
china,balance-of-trade,1983-05-01,0.29,USD Billion
china,balance-of-trade,1983-06-01,0.36,USD Billion
china,balance-of-trade,1983-07-01,0.44,USD Billion
china,balance-of-trade,1983-08-01,0.22,USD Billion
china,balance-of-trade,1983-09-01,-0.35,USD Billion
china,balance-of-trade,1983-10-01,-0.03,USD Billion
china,balance-of-trade,1983-11-01,-0.02,USD Billion
china,balance-of-trade,1983-12-01,0.06,USD Billion
china,balance-of-trade,1984-01-01,0.17,USD Billion
china,balance-of-trade,1984-02-01,-0.05,USD Billion
china,balance-of-trade,1984-03-01,0.14,USD Billion
china,balance-of-trade,1984-04-01,-0.01,USD Billion
china,balance-of-trade,1984-05-01,0.23,USD Billion
china,balance-of-trade,1984-06-01,0.28,USD Billion
china,balance-of-trade,1984-07-01,-0.04,USD Billion
china,balance-of-trade,1984-08-01,0.26,USD Billion
china,balance-of-trade,1984-09-01,-0.37,USD Billion
china,balance-of-trade,1984-10-01,-0.14,USD Billion
china,balance-of-trade,1984-11-01,-0.62,USD Billion
china,balance-of-trade,1984-12-01,-0.95,USD Billion
china,balance-of-trade,1985-01-01,-0.9,USD Billion
china,balance-of-trade,1985-02-01,-1.26,USD Billion
china,balance-of-trade,1985-03-01,-0.66,USD Billion
china,balance-of-trade,1985-04-01,-1.06,USD Billion
china,balance-of-trade,1985-05-01,-1.26,USD Billion
china,balance-of-trade,1985-06-01,-1.45,USD Billion
china,balance-of-trade,1985-07-01,-1.29,USD Billion
china,balance-of-trade,1985-08-01,-1.28,USD Billion
china,balance-of-trade,1985-09-01,-1.25,USD Billion
china,balance-of-trade,1985-10-01,-0.89,USD Billion
china,balance-of-trade,1985-11-01,-1.37,USD Billion
china,balance-of-trade,1985-12-01,-2.51,USD Billion
china,balance-of-trade,1986-01-01,-0.45,USD Billion
china,balance-of-trade,1986-02-01,-1.29,USD Billion
china,balance-of-trade,1986-03-01,-1.27,USD Billion
china,balance-of-trade,1986-04-01,-1.48,USD Billion
china,balance-of-trade,1986-05-01,-1.05,USD Billion
china,balance-of-trade,1986-06-01,-0.94,USD Billion
china,balance-of-trade,1986-07-01,-0.77,USD Billion
china,balance-of-trade,1986-08-01,-0.96,USD Billion
china,balance-of-trade,1986-09-01,-0.81,USD Billion
china,balance-of-trade,1986-10-01,-0.38,USD Billion
china,balance-of-trade,1986-11-01,-0.9,USD Billion
china,balance-of-trade,1986-12-01,-1.73,USD Billion
china,balance-of-trade,1987-01-01,-0.3,USD Billion
china,balance-of-trade,1987-02-01,-0.4,USD Billion
china,balance-of-trade,1987-03-01,-0.34,USD Billion
china,balance-of-trade,1987-04-01,-0.64,USD Billion
china,balance-of-trade,1987-05-01,-0.28,USD Billion
china,balance-of-trade,1987-06-01,-0.04,USD Billion
china,balance-of-trade,1987-07-01,-0.17,USD Billion
china,balance-of-trade,1987-08-01,-0.2,USD Billion
china,balance-of-trade,1987-09-01,-0.32,USD Billion
china,balance-of-trade,1987-10-01,0.16,USD Billion
china,balance-of-trade,1987-11-01,-0.27,USD Billion
china,balance-of-trade,1987-12-01,-1.04,USD Billion
china,balance-of-trade,1988-01-01,0.33,USD Billion
china,balance-of-trade,1988-02-01,-0.42,USD Billion
china,balance-of-trade,1988-03-01,-0.51,USD Billion
china,balance-of-trade,1988-04-01,-0.33,USD Billion
china,balance-of-trade,1988-05-01,0.01,USD Billion
china,balance-of-trade,1988-06-01,-0.23,USD Billion
china,balance-of-trade,1988-07-01,-0.62,USD Billion
china,balance-of-trade,1988-08-01,-0.73,USD Billion
china,balance-of-trade,1988-09-01,-0.93,USD Billion
china,balance-of-trade,1988-10-01,-0.35,USD Billion
china,balance-of-trade,1988-11-01,-1.58,USD Billion
china,balance-of-trade,1988-12-01,-2.38,USD Billion
china,balance-of-trade,1989-01-01,-0.1,USD Billion
china,balance-of-trade,1989-02-01,-0.72,USD Billion
china,balance-of-trade,1989-03-01,-1.07,USD Billion
china,balance-of-trade,1989-04-01,-1.86,USD Billion
china,balance-of-trade,1989-05-01,-0.88,USD Billion
china,balance-of-trade,1989-06-01,-1.16,USD Billion
china,balance-of-trade,1989-07-01,-0.77,USD Billion
china,balance-of-trade,1989-08-01,-0.27,USD Billion
china,balance-of-trade,1989-09-01,0.33,USD Billion
china,balance-of-trade,1989-10-01,-0.08,USD Billion
china,balance-of-trade,1989-11-01,-0.07,USD Billion
china,balance-of-trade,1989-12-01,0.01,USD Billion
china,balance-of-trade,1990-01-01,0.28,USD Billion
china,balance-of-trade,1990-02-01,-0.27,USD Billion
china,balance-of-trade,1990-03-01,0.81,USD Billion
china,balance-of-trade,1990-04-01,0.5,USD Billion
china,balance-of-trade,1990-05-01,0.39,USD Billion
china,balance-of-trade,1990-06-01,0.84,USD Billion
china,balance-of-trade,1990-07-01,0.72,USD Billion
china,balance-of-trade,1990-08-01,0.92,USD Billion
china,balance-of-trade,1990-09-01,0.71,USD Billion
china,balance-of-trade,1990-10-01,1.32,USD Billion
china,balance-of-trade,1990-11-01,0.9,USD Billion
china,balance-of-trade,1990-12-01,1.6,USD Billion
china,balance-of-trade,1991-01-01,0.91,USD Billion
china,balance-of-trade,1991-02-01,0.94,USD Billion
china,balance-of-trade,1991-03-01,0.41,USD Billion
china,balance-of-trade,1991-04-01,0.08,USD Billion
china,balance-of-trade,1991-05-01,0.62,USD Billion
china,balance-of-trade,1991-06-01,0.72,USD Billion
china,balance-of-trade,1991-07-01,1.1,USD Billion
china,balance-of-trade,1991-08-01,0.88,USD Billion
china,balance-of-trade,1991-09-01,0.64,USD Billion
china,balance-of-trade,1991-10-01,0.95,USD Billion
china,balance-of-trade,1991-11-01,0.85,USD Billion
china,balance-of-trade,1991-12-01,0.08,USD Billion
china,balance-of-trade,1992-01-01,0.97,USD Billion
china,balance-of-trade,1992-02-01,0.12,USD Billion
china,balance-of-trade,1992-03-01,0.1,USD Billion
china,balance-of-trade,1992-04-01,0.28,USD Billion
china,balance-of-trade,1992-05-01,0.26,USD Billion
china,balance-of-trade,1992-06-01,0.83,USD Billion
china,balance-of-trade,1992-07-01,0.89,USD Billion
china,balance-of-trade,1992-08-01,1.04,USD Billion
china,balance-of-trade,1992-09-01,0.22,USD Billion
