country,indicator,date,value,unit
united-states,car-production,1967-01-01,9.1647,Million Units
united-states,car-production,1967-02-01,8.5278,Million Units
united-states,car-production,1967-03-01,9.149,Million Units
united-states,car-production,1967-04-01,9.4891,Million Units
united-states,car-production,1967-05-01,9.4688,Million Units
united-states,car-production,1967-06-01,9.2837,Million Units
united-states,car-production,1967-07-01,9.2732,Million Units
united-states,car-production,1967-08-01,9.0786,Million Units
united-states,car-production,1967-09-01,8.4096,Million Units
united-states,car-production,1967-10-01,8.484,Million Units
united-states,car-production,1967-11-01,9.6508,Million Units
united-states,car-production,1967-12-01,10.8356,Million Units
united-states,car-production,1968-01-01,10.6815,Million Units
united-states,car-production,1968-02-01,10.6618,Million Units
united-states,car-production,1968-03-01,11.0495,Million Units
united-states,car-production,1968-04-01,11.1677,Million Units
united-states,car-production,1968-05-01,11.4052,Million Units
united-states,car-production,1968-06-01,11.1899,Million Units
united-states,car-production,1968-07-01,11.0626,Million Units
united-states,car-production,1968-08-01,10.6242,Million Units
united-states,car-production,1968-09-01,11.2554,Million Units
united-states,car-production,1968-10-01,11.5691,Million Units
united-states,car-production,1968-11-01,11.5529,Million Units
united-states,car-production,1968-12-01,11.1319,Million Units
united-states,car-production,1969-01-01,10.9729,Million Units
united-states,car-production,1969-02-01,11.092,Million Units
united-states,car-production,1969-03-01,10.7015,Million Units
united-states,car-production,1969-04-01,9.9078,Million Units
united-states,car-production,1969-05-01,9.1333,Million Units
united-states,car-production,1969-06-01,10.4526,Million Units
united-states,car-production,1969-07-01,10.6058,Million Units
united-states,car-production,1969-08-01,10.7776,Million Units
united-states,car-production,1969-09-01,10.8624,Million Units
united-states,car-production,1969-10-01,10.8786,Million Units
united-states,car-production,1969-11-01,10.5434,Million Units
united-states,car-production,1969-12-01,10.0525,Million Units
united-states,car-production,1970-01-01,8.9157,Million Units
united-states,car-production,1970-02-01,8.5375,Million Units
united-states,car-production,1970-03-01,8.8736,Million Units
united-states,car-production,1970-04-01,9.0205,Million Units
united-states,car-production,1970-05-01,10.0076,Million Units
united-states,car-production,1970-06-01,10.1901,Million Units
united-states,car-production,1970-07-01,9.3411,Million Units
united-states,car-production,1970-08-01,9.0458,Million Units
united-states,car-production,1970-09-01,7.3963,Million Units
united-states,car-production,1970-10-01,5.4485,Million Units
united-states,car-production,1970-11-01,5.508,Million Units
united-states,car-production,1970-12-01,9.408,Million Units
united-states,car-production,1971-01-01,10.3235,Million Units
united-states,car-production,1971-02-01,11.1934,Million Units
united-states,car-production,1971-03-01,10.7553,Million Units
united-states,car-production,1971-04-01,10.3168,Million Units
united-states,car-production,1971-05-01,10.3851,Million Units
united-states,car-production,1971-06-01,10.6339,Million Units
united-states,car-production,1971-07-01,10.189,Million Units
united-states,car-production,1971-08-01,10.9666,Million Units
united-states,car-production,1971-09-01,11.0799,Million Units
united-states,car-production,1971-10-01,11.0484,Million Units
united-states,car-production,1971-11-01,10.7845,Million Units
united-states,car-production,1971-12-01,10.6043,Million Units
united-states,car-production,1972-01-01,10.6531,Million Units
united-states,car-production,1972-02-01,10.9001,Million Units
united-states,car-production,1972-03-01,10.9636,Million Units
united-states,car-production,1972-04-01,11.498,Million Units
united-states,car-production,1972-05-01,11.0936,Million Units
united-states,car-production,1972-06-01,10.6552,Million Units
united-states,car-production,1972-07-01,10.5722,Million Units
united-states,car-production,1972-08-01,11.2299,Million Units
united-states,car-production,1972-09-01,11.6289,Million Units
united-states,car-production,1972-10-01,12.1104,Million Units
united-states,car-production,1972-11-01,12.4327,Million Units
united-states,car-production,1972-12-01,12.6122,Million Units
united-states,car-production,1973-01-01,12.9984,Million Units
united-states,car-production,1973-02-01,13.1643,Million Units
united-states,car-production,1973-03-01,12.8888,Million Units
united-states,car-production,1973-04-01,12.8082,Million Units
united-states,car-production,1973-05-01,12.7487,Million Units
united-states,car-production,1973-06-01,12.7736,Million Units
united-states,car-production,1973-07-01,12.894,Million Units
united-states,car-production,1973-08-01,11.4189,Million Units
united-states,car-production,1973-09-01,12.8544,Million Units
united-states,car-production,1973-10-01,12.5477,Million Units
united-states,car-production,1973-11-01,12.5954,Million Units
united-states,car-production,1973-12-01,11.8996,Million Units
united-states,car-production,1974-01-01,10.063,Million Units
united-states,car-production,1974-02-01,9.7715,Million Units
united-states,car-production,1974-03-01,9.6006,Million Units
united-states,car-production,1974-04-01,9.8861,Million Units
united-states,car-production,1974-05-01,10.1798,Million Units
united-states,car-production,1974-06-01,10.0481,Million Units
united-states,car-production,1974-07-01,10.5053,Million Units
united-states,car-production,1974-08-01,9.997,Million Units
united-states,car-production,1974-09-01,10.9153,Million Units
united-states,car-production,1974-10-01,11.0308,Million Units
united-states,car-production,1974-11-01,9.9878,Million Units
united-states,car-production,1974-12-01,8.0162,Million Units
united-states,car-production,1975-01-01,7.0811,Million Units
united-states,car-production,1975-02-01,6.6164,Million Units
united-states,car-production,1975-03-01,7.5172,Million Units
united-states,car-production,1975-04-01,8.3766,Million Units
united-states,car-production,1975-05-01,8.7427,Million Units
united-states,car-production,1975-06-01,9.0894,Million Units
united-states,car-production,1975-07-01,9.4526,Million Units
united-states,car-production,1975-08-01,10.0536,Million Units
united-states,car-production,1975-09-01,10.8106,Million Units
united-states,car-production,1975-10-01,10.204,Million Units
united-states,car-production,1975-11-01,10.4049,Million Units
united-states,car-production,1975-12-01,10.8424,Million Units
united-states,car-production,1976-01-01,10.7118,Million Units
united-states,car-production,1976-02-01,11.4401,Million Units
united-states,car-production,1976-03-01,11.4843,Million Units
united-states,car-production,1976-04-01,11.6469,Million Units
united-states,car-production,1976-05-01,11.7789,Million Units
united-states,car-production,1976-06-01,11.8453,Million Units
united-states,car-production,1976-07-01,11.9038,Million Units
united-states,car-production,1976-08-01,12.2821,Million Units
united-states,car-production,1976-09-01,10.5952,Million Units
united-states,car-production,1976-10-01,9.8904,Million Units
united-states,car-production,1976-11-01,11.7936,Million Units
united-states,car-production,1976-12-01,13.1415,Million Units
united-states,car-production,1977-01-01,12.3704,Million Units
united-states,car-production,1977-02-01,12.0326,Million Units
united-states,car-production,1977-03-01,12.9652,Million Units
united-states,car-production,1977-04-01,12.6541,Million Units
united-states,car-production,1977-05-01,12.4455,Million Units
united-states,car-production,1977-06-01,13.0112,Million Units
united-states,car-production,1977-07-01,13.1661,Million Units
united-states,car-production,1977-08-01,13.286,Million Units
united-states,car-production,1977-09-01,13.1504,Million Units
united-states,car-production,1977-10-01,13.165,Million Units
united-states,car-production,1977-11-01,12.4356,Million Units
united-states,car-production,1977-12-01,12.7342,Million Units
united-states,car-production,1978-01-01,11.0511,Million Units
united-states,car-production,1978-02-01,11.9082,Million Units
united-states,car-production,1978-03-01,12.9975,Million Units
united-states,car-production,1978-04-01,13.7197,Million Units
united-states,car-production,1978-05-01,12.9375,Million Units
united-states,car-production,1978-06-01,12.9713,Million Units
united-states,car-production,1978-07-01,13.1843,Million Units
united-states,car-production,1978-08-01,13.2836,Million Units
united-states,car-production,1978-09-01,13.0483,Million Units
united-states,car-production,1978-10-01,13.3459,Million Units
united-states,car-production,1978-11-01,13.889,Million Units
united-states,car-production,1978-12-01,13.519,Million Units
united-states,car-production,1979-01-01,13.1498,Million Units
united-states,car-production,1979-02-01,12.9205,Million Units
united-states,car-production,1979-03-01,13.1629,Million Units
united-states,car-production,1979-04-01,11.0852,Million Units
united-states,car-production,1979-05-01,12.8526,Million Units
united-states,car-production,1979-06-01,12.2839,Million Units
united-states,car-production,1979-07-01,11.634,Million Units
united-states,car-production,1979-08-01,10.1914,Million Units
united-states,car-production,1979-09-01,10.525,Million Units
united-states,car-production,1979-10-01,10.0948,Million Units
united-states,car-production,1979-11-01,9.3356,Million Units
united-states,car-production,1979-12-01,9.0632,Million Units
united-states,car-production,1980-01-01,8.1969,Million Units
united-states,car-production,1980-02-01,9.4367,Million Units
united-states,car-production,1980-03-01,8.7884,Million Units
united-states,car-production,1980-04-01,7.7003,Million Units
united-states,car-production,1980-05-01,6.65,Million Units
united-states,car-production,1980-06-01,6.8349,Million Units
united-states,car-production,1980-07-01,7.2134,Million Units
united-states,car-production,1980-08-01,7.0002,Million Units
united-states,car-production,1980-09-01,7.855,Million Units
united-states,car-production,1980-10-01,8.4453,Million Units
united-states,car-production,1980-11-01,8.9473,Million Units
united-states,car-production,1980-12-01,8.2437,Million Units
united-states,car-production,1981-01-01,7.5898,Million Units
united-states,car-production,1981-02-01,7.7219,Million Units
united-states,car-production,1981-03-01,8.3744,Million Units
united-states,car-production,1981-04-01,8.712,Million Units
united-states,car-production,1981-05-01,9.0774,Million Units
united-states,car-production,1981-06-01,9.1868,Million Units
united-states,car-production,1981-07-01,8.8348,Million Units
united-states,car-production,1981-08-01,8.0659,Million Units
united-states,car-production,1981-09-01,7.3751,Million Units
united-states,car-production,1981-10-01,7.1801,Million Units
united-states,car-production,1981-11-01,6.3325,Million Units
united-states,car-production,1981-12-01,6.2217,Million Units
united-states,car-production,1982-01-01,5.3194,Million Units
united-states,car-production,1982-02-01,5.828,Million Units
united-states,car-production,1982-03-01,6.7746,Million Units
united-states,car-production,1982-04-01,7.3985,Million Units
united-states,car-production,1982-05-01,7.8645,Million Units
united-states,car-production,1982-06-01,8.0084,Million Units
united-states,car-production,1982-07-01,8.6727,Million Units
united-states,car-production,1982-08-01,7.8407,Million Units
united-states,car-production,1982-09-01,7.1614,Million Units
united-states,car-production,1982-10-01,6.0715,Million Units
united-states,car-production,1982-11-01,5.9822,Million Units
united-states,car-production,1982-12-01,6.8007,Million Units
united-states,car-production,1983-01-01,7.3892,Million Units
united-states,car-production,1983-02-01,8.2787,Million Units
united-states,car-production,1983-03-01,8.1368,Million Units
united-states,car-production,1983-04-01,8.3109,Million Units
united-states,car-production,1983-05-01,8.6018,Million Units
united-states,car-production,1983-06-01,9.1371,Million Units
united-states,car-production,1983-07-01,9.3894,Million Units
united-states,car-production,1983-08-01,10.2859,Million Units
united-states,car-production,1983-09-01,10.3676,Million Units
united-states,car-production,1983-10-01,10.3019,Million Units
united-states,car-production,1983-11-01,10.0838,Million Units
united-states,car-production,1983-12-01,10.8704,Million Units
united-states,car-production,1984-01-01,11.3552,Million Units
united-states,car-production,1984-02-01,11.1808,Million Units
united-states,car-production,1984-03-01,11.4266,Million Units
united-states,car-production,1984-04-01,10.8983,Million Units
united-states,car-production,1984-05-01,10.7278,Million Units
united-states,car-production,1984-06-01,10.8233,Million Units
united-states,car-production,1984-07-01,10.883,Million Units
united-states,car-production,1984-08-01,11.0887,Million Units
united-states,car-production,1984-09-01,10.34,Million Units
united-states,car-production,1984-10-01,10.2644,Million Units
united-states,car-production,1984-11-01,10.9339,Million Units
united-states,car-production,1984-12-01,11.1466,Million Units
united-states,car-production,1985-01-01,11.5304,Million Units
united-states,car-production,1985-02-01,11.3996,Million Units
united-states,car-production,1985-03-01,11.7163,Million Units
united-states,car-production,1985-04-01,11.51,Million Units
united-states,car-production,1985-05-01,11.6445,Million Units
united-states,car-production,1985-06-01,11.5991,Million Units
united-states,car-production,1985-07-01,11.7439,Million Units
united-states,car-production,1985-08-01,12.1138,Million Units
united-states,car-production,1985-09-01,11.8157,Million Units
united-states,car-production,1985-10-01,11.6739,Million Units
united-states,car-production,1985-11-01,11.7198,Million Units
united-states,car-production,1985-12-01,11.095,Million Units
united-states,car-production,1986-01-01,11.7259,Million Units
united-states,car-production,1986-02-01,11.8541,Million Units
united-states,car-production,1986-03-01,11.118,Million Units
united-states,car-production,1986-04-01,11.2294,Million Units
united-states,car-production,1986-05-01,11.2018,Million Units
united-states,car-production,1986-06-01,11.4646,Million Units
