country,indicator,date,value,unit
euro-area,interest-rate,1998-12-18,3.0,%
euro-area,interest-rate,1999-01-04,3.0,%
euro-area,interest-rate,1999-02-01,3.0,%
euro-area,interest-rate,1999-03-01,3.0,%
euro-area,interest-rate,1999-04-01,3.0,%
euro-area,interest-rate,1999-04-08,2.5,%
euro-area,interest-rate,1999-05-03,2.5,%
euro-area,interest-rate,1999-06-01,2.5,%
euro-area,interest-rate,1999-07-01,2.5,%
euro-area,interest-rate,1999-08-02,2.5,%
euro-area,interest-rate,1999-09-01,2.5,%
euro-area,interest-rate,1999-10-01,2.5,%
euro-area,interest-rate,1999-11-01,2.5,%
euro-area,interest-rate,1999-11-04,3.0,%
euro-area,interest-rate,1999-12-01,3.0,%
euro-area,interest-rate,2000-01-03,3.0,%
euro-area,interest-rate,2000-02-01,3.0,%
euro-area,interest-rate,2000-02-03,3.25,%
euro-area,interest-rate,2000-03-01,3.25,%
euro-area,interest-rate,2000-03-16,3.5,%
euro-area,interest-rate,2000-04-03,3.5,%
euro-area,interest-rate,2000-04-27,3.75,%
euro-area,interest-rate,2000-05-02,3.75,%
euro-area,interest-rate,2000-06-01,3.75,%
euro-area,interest-rate,2000-06-08,4.25,%
euro-area,interest-rate,2000-07-03,4.25,%
euro-area,interest-rate,2000-08-01,4.25,%
euro-area,interest-rate,2000-08-31,4.5,%
euro-area,interest-rate,2000-09-01,4.5,%
euro-area,interest-rate,2000-10-02,4.5,%
euro-area,interest-rate,2000-10-05,4.75,%
euro-area,interest-rate,2000-11-01,4.75,%
euro-area,interest-rate,2000-12-01,4.75,%
euro-area,interest-rate,2001-01-02,4.75,%
euro-area,interest-rate,2001-02-01,4.75,%
euro-area,interest-rate,2001-03-01,4.75,%
euro-area,interest-rate,2001-04-02,4.75,%
euro-area,interest-rate,2001-05-02,4.75,%
euro-area,interest-rate,2001-05-10,4.5,%
euro-area,interest-rate,2001-06-01,4.5,%
euro-area,interest-rate,2001-07-02,4.5,%
euro-area,interest-rate,2001-08-01,4.5,%
euro-area,interest-rate,2001-08-30,4.25,%
euro-area,interest-rate,2001-09-03,4.25,%
euro-area,interest-rate,2001-09-17,3.75,%
euro-area,interest-rate,2001-10-01,3.75,%
euro-area,interest-rate,2001-11-01,3.75,%
euro-area,interest-rate,2001-11-08,3.25,%
euro-area,interest-rate,2001-12-03,3.25,%
euro-area,interest-rate,2002-01-01,3.25,%
euro-area,interest-rate,2002-02-01,3.25,%
euro-area,interest-rate,2002-03-01,3.25,%
euro-area,interest-rate,2002-04-02,3.25,%
euro-area,interest-rate,2002-05-01,3.25,%
euro-area,interest-rate,2002-06-03,3.25,%
euro-area,interest-rate,2002-07-01,3.25,%
euro-area,interest-rate,2002-08-01,3.25,%
euro-area,interest-rate,2002-09-02,3.25,%
euro-area,interest-rate,2002-10-01,3.25,%
euro-area,interest-rate,2002-11-01,3.25,%
euro-area,interest-rate,2002-12-02,3.25,%
euro-area,interest-rate,2002-12-05,2.75,%
euro-area,interest-rate,2003-01-02,2.75,%
euro-area,interest-rate,2003-02-03,2.75,%
euro-area,interest-rate,2003-03-03,2.75,%
