country,indicator,date,value,unit
united-states,interest-rate,1971-08-04,5.5,%
united-states,interest-rate,1971-08-16,5.75,%
united-states,interest-rate,1971-09-01,5.13,%
united-states,interest-rate,1971-10-01,5.13,%
united-states,interest-rate,1971-11-01,5.13,%
united-states,interest-rate,1971-11-08,5.0,%
united-states,interest-rate,1971-11-12,4.75,%
united-states,interest-rate,1971-11-29,4.5,%
united-states,interest-rate,1971-12-01,4.5,%
united-states,interest-rate,1971-12-16,4.13,%
united-states,interest-rate,1971-12-17,4.0,%
united-states,interest-rate,1971-12-20,3.5,%
united-states,interest-rate,1972-01-03,3.5,%
united-states,interest-rate,1972-02-01,3.5,%
united-states,interest-rate,1972-03-01,5.5,%
united-states,interest-rate,1972-04-03,5.5,%
united-states,interest-rate,1972-05-01,5.5,%
united-states,interest-rate,1972-06-01,5.5,%
united-states,interest-rate,1972-07-03,5.5,%
united-states,interest-rate,1972-08-01,5.5,%
united-states,interest-rate,1972-09-01,5.5,%
united-states,interest-rate,1972-10-02,5.5,%
united-states,interest-rate,1972-11-01,5.5,%
united-states,interest-rate,1972-12-01,5.5,%
united-states,interest-rate,1973-01-01,5.5,%
united-states,interest-rate,1973-01-04,5.75,%
united-states,interest-rate,1973-01-15,5.88,%
united-states,interest-rate,1973-01-19,6.0,%
united-states,interest-rate,1973-02-01,6.0,%
united-states,interest-rate,1973-02-12,6.5,%
united-states,interest-rate,1973-02-26,6.75,%
united-states,interest-rate,1973-03-01,6.75,%
united-states,interest-rate,1973-03-14,7.0,%
united-states,interest-rate,1973-03-29,7.25,%
united-states,interest-rate,1973-04-02,7.25,%
united-states,interest-rate,1973-05-01,7.25,%
united-states,interest-rate,1973-05-04,7.5,%
united-states,interest-rate,1973-05-18,7.88,%
united-states,interest-rate,1973-05-31,8.25,%
united-states,interest-rate,1973-06-01,8.25,%
united-states,interest-rate,1973-06-11,8.5,%
united-states,interest-rate,1973-07-02,9.25,%
united-states,interest-rate,1973-07-06,9.5,%
united-states,interest-rate,1973-07-27,10.5,%
united-states,interest-rate,1973-08-01,10.5,%
united-states,interest-rate,1973-08-30,11.0,%
united-states,interest-rate,1973-09-03,9.0,%
united-states,interest-rate,1973-10-01,9.0,%
united-states,interest-rate,1973-11-01,9.0,%
united-states,interest-rate,1973-12-03,9.0,%
united-states,interest-rate,1974-01-01,9.0,%
united-states,interest-rate,1974-02-01,9.0,%
united-states,interest-rate,1974-03-01,10.0,%
united-states,interest-rate,1974-04-01,10.0,%
united-states,interest-rate,1974-04-25,10.75,%
united-states,interest-rate,1974-05-01,13.0,%
united-states,interest-rate,1974-06-03,13.0,%
united-states,interest-rate,1974-07-01,9.25,%
united-states,interest-rate,1974-08-01,9.25,%
united-states,interest-rate,1974-09-02,9.25,%
united-states,interest-rate,1974-10-01,9.25,%
united-states,interest-rate,1974-11-01,9.25,%
united-states,interest-rate,1974-12-02,9.25,%
united-states,interest-rate,1974-12-09,9.0,%
united-states,interest-rate,1974-12-16,8.25,%
united-states,interest-rate,1974-12-20,8.0,%
united-states,interest-rate,1975-01-01,8.0,%
united-states,interest-rate,1975-01-10,7.25,%
united-states,interest-rate,1975-01-16,7.0,%
united-states,interest-rate,1975-02-03,7.0,%
united-states,interest-rate,1975-02-04,6.5,%
united-states,interest-rate,1975-02-06,6.25,%
united-states,interest-rate,1975-02-26,6.0,%
united-states,interest-rate,1975-03-03,6.0,%
united-states,interest-rate,1975-03-10,5.75,%
united-states,interest-rate,1975-03-21,5.5,%
united-states,interest-rate,1975-04-01,5.5,%
united-states,interest-rate,1975-04-30,5.25,%
united-states,interest-rate,1975-05-01,5.25,%
united-states,interest-rate,1975-06-02,6.5,%
united-states,interest-rate,1975-07-01,6.5,%
united-states,interest-rate,1975-08-01,6.5,%
united-states,interest-rate,1975-09-01,6.5,%
united-states,interest-rate,1975-10-01,4.88,%
united-states,interest-rate,1975-11-03,4.88,%
united-states,interest-rate,1975-12-01,4.88,%
united-states,interest-rate,1976-01-01,4.88,%
united-states,interest-rate,1976-01-12,4.75,%
united-states,interest-rate,1976-02-02,4.75,%
united-states,interest-rate,1976-03-01,4.75,%
united-states,interest-rate,1976-04-01,4.75,%
united-states,interest-rate,1976-04-21,4.88,%
united-states,interest-rate,1976-05-03,5.5,%
united-states,interest-rate,1976-06-01,5.5,%
united-states,interest-rate,1976-07-01,5.13,%
united-states,interest-rate,1976-08-02,5.13,%
united-states,interest-rate,1976-09-01,5.13,%
united-states,interest-rate,1976-10-01,5.13,%
united-states,interest-rate,1976-10-13,5.0,%
united-states,interest-rate,1976-11-01,5.0,%
united-states,interest-rate,1976-11-22,4.88,%
united-states,interest-rate,1976-11-26,4.75,%
united-states,interest-rate,1976-12-01,5.88,%
united-states,interest-rate,1977-01-03,5.88,%
united-states,interest-rate,1977-02-01,5.88,%
united-states,interest-rate,1977-03-01,5.88,%
united-states,interest-rate,1977-04-01,5.88,%
united-states,interest-rate,1977-05-02,5.88,%
united-states,interest-rate,1977-06-01,5.88,%
united-states,interest-rate,1977-07-01,5.88,%
united-states,interest-rate,1977-08-01,5.88,%
united-states,interest-rate,1977-08-15,6.0,%
united-states,interest-rate,1977-09-01,6.0,%
united-states,interest-rate,1977-09-15,6.13,%
united-states,interest-rate,1977-09-20,6.25,%
united-states,interest-rate,1977-10-03,6.25,%
united-states,interest-rate,1977-10-26,6.5,%
united-states,interest-rate,1977-11-01,6.5,%
united-states,interest-rate,1977-12-01,6.5,%
united-states,interest-rate,1978-01-02,6.5,%
united-states,interest-rate,1978-01-09,6.75,%
united-states,interest-rate,1978-02-01,6.75,%
united-states,interest-rate,1978-03-01,6.75,%
united-states,interest-rate,1978-04-03,6.75,%
united-states,interest-rate,1978-04-19,7.0,%
united-states,interest-rate,1978-04-26,7.13,%
united-states,interest-rate,1978-04-27,7.25,%
united-states,interest-rate,1978-05-01,7.25,%
united-states,interest-rate,1978-05-17,7.5,%
united-states,interest-rate,1978-06-01,7.5,%
united-states,interest-rate,1978-06-21,7.75,%
united-states,interest-rate,1978-07-03,7.75,%
united-states,interest-rate,1978-07-19,7.88,%
united-states,interest-rate,1978-08-01,7.88,%
united-states,interest-rate,1978-08-16,8.0,%
united-states,interest-rate,1978-08-21,8.13,%
united-states,interest-rate,1978-08-25,8.25,%
united-states,interest-rate,1978-09-01,8.25,%
united-states,interest-rate,1978-09-08,8.38,%
united-states,interest-rate,1978-09-20,8.5,%
united-states,interest-rate,1978-09-22,8.63,%
united-states,interest-rate,1978-09-29,8.75,%
united-states,interest-rate,1978-10-02,8.75,%
united-states,interest-rate,1978-10-18,9.0,%
united-states,interest-rate,1978-11-01,9.75,%
united-states,interest-rate,1978-11-15,9.88,%
united-states,interest-rate,1978-12-01,9.88,%
united-states,interest-rate,1978-12-20,10.0,%
united-states,interest-rate,1979-01-01,10.0,%
united-states,interest-rate,1979-02-01,10.0,%
