country,indicator,date,value,unit
united-states,leading-economic-index,1959-01-01,25.9,points
united-states,leading-economic-index,1959-02-01,26.3,points
united-states,leading-economic-index,1959-03-01,26.7,points
united-states,leading-economic-index,1959-04-01,26.8,points
united-states,leading-economic-index,1959-05-01,27.0,points
united-states,leading-economic-index,1959-06-01,27.1,points
united-states,leading-economic-index,1959-07-01,27.2,points
united-states,leading-economic-index,1959-08-01,27.1,points
united-states,leading-economic-index,1959-09-01,27.1,points
united-states,leading-economic-index,1959-10-01,27.0,points
united-states,leading-economic-index,1959-11-01,26.9,points
united-states,leading-economic-index,1959-12-01,27.4,points
united-states,leading-economic-index,1960-01-01,27.5,points
united-states,leading-economic-index,1960-02-01,27.5,points
united-states,leading-economic-index,1960-03-01,27.3,points
united-states,leading-economic-index,1960-04-01,27.5,points
united-states,leading-economic-index,1960-05-01,27.5,points
united-states,leading-economic-index,1960-06-01,27.5,points
united-states,leading-economic-index,1960-07-01,27.5,points
united-states,leading-economic-index,1960-08-01,27.7,points
united-states,leading-economic-index,1960-09-01,27.7,points
united-states,leading-economic-index,1960-10-01,27.7,points
united-states,leading-economic-index,1960-11-01,27.7,points
united-states,leading-economic-index,1960-12-01,27.7,points
united-states,leading-economic-index,1961-01-01,27.9,points
united-states,leading-economic-index,1961-02-01,28.0,points
united-states,leading-economic-index,1961-03-01,28.4,points
united-states,leading-economic-index,1961-04-01,28.7,points
united-states,leading-economic-index,1961-05-01,29.0,points
united-states,leading-economic-index,1961-06-01,29.3,points
united-states,leading-economic-index,1961-07-01,29.5,points
united-states,leading-economic-index,1961-08-01,30.0,points
united-states,leading-economic-index,1961-09-01,30.0,points
united-states,leading-economic-index,1961-10-01,30.4,points
united-states,leading-economic-index,1961-11-01,30.8,points
united-states,leading-economic-index,1961-12-01,31.1,points
united-states,leading-economic-index,1962-01-01,31.1,points
united-states,leading-economic-index,1962-02-01,31.5,points
united-states,leading-economic-index,1962-03-01,31.6,points
united-states,leading-economic-index,1962-04-01,31.8,points
united-states,leading-economic-index,1962-05-01,31.8,points
united-states,leading-economic-index,1962-06-01,31.7,points
united-states,leading-economic-index,1962-07-01,32.0,points
united-states,leading-economic-index,1962-08-01,32.1,points
united-states,leading-economic-index,1962-09-01,32.2,points
united-states,leading-economic-index,1962-10-01,32.3,points
united-states,leading-economic-index,1962-11-01,32.7,points
united-states,leading-economic-index,1962-12-01,32.8,points
united-states,leading-economic-index,1963-01-01,33.1,points
united-states,leading-economic-index,1963-02-01,33.4,points
united-states,leading-economic-index,1963-03-01,33.7,points
united-states,leading-economic-index,1963-04-01,34.0,points
united-states,leading-economic-index,1963-05-01,34.3,points
united-states,leading-economic-index,1963-06-01,34.4,points
united-states,leading-economic-index,1963-07-01,34.6,points
united-states,leading-economic-index,1963-08-01,34.7,points
united-states,leading-economic-index,1963-09-01,35.1,points
united-states,leading-economic-index,1963-10-01,35.3,points
united-states,leading-economic-index,1963-11-01,35.5,points
united-states,leading-economic-index,1963-12-01,35.7,points
united-states,leading-economic-index,1964-01-01,35.9,points
united-states,leading-economic-index,1964-02-01,36.2,points
united-states,leading-economic-index,1964-03-01,36.4,points
united-states,leading-economic-index,1964-04-01,36.7,points
united-states,leading-economic-index,1964-05-01,37.0,points
united-states,leading-economic-index,1964-06-01,37.2,points
united-states,leading-economic-index,1964-07-01,37.5,points
united-states,leading-economic-index,1964-08-01,37.8,points
united-states,leading-economic-index,1964-09-01,38.1,points
united-states,leading-economic-index,1964-10-01,38.2,points
united-states,leading-economic-index,1964-11-01,38.5,points
united-states,leading-economic-index,1964-12-01,38.8,points
united-states,leading-economic-index,1965-01-01,39.2,points
united-states,leading-economic-index,1965-02-01,39.3,points
united-states,leading-economic-index,1965-03-01,39.7,points
united-states,leading-economic-index,1965-04-01,39.9,points
united-states,leading-economic-index,1965-05-01,40.1,points
united-states,leading-economic-index,1965-06-01,40.3,points
united-states,leading-economic-index,1965-07-01,40.5,points
united-states,leading-economic-index,1965-08-01,40.6,points
united-states,leading-economic-index,1965-09-01,41.0,points
united-states,leading-economic-index,1965-10-01,41.4,points
united-states,leading-economic-index,1965-11-01,41.8,points
united-states,leading-economic-index,1965-12-01,42.2,points
united-states,leading-economic-index,1966-01-01,42.4,points
united-states,leading-economic-index,1966-02-01,42.6,points
united-states,leading-economic-index,1966-03-01,43.0,points
united-states,leading-economic-index,1966-04-01,43.2,points
united-states,leading-economic-index,1966-05-01,43.0,points
united-states,leading-economic-index,1966-06-01,42.9,points
united-states,leading-economic-index,1966-07-01,42.8,points
united-states,leading-economic-index,1966-08-01,42.7,points
united-states,leading-economic-index,1966-09-01,42.6,points
united-states,leading-economic-index,1966-10-01,42.6,points
united-states,leading-economic-index,1966-11-01,42.5,points
united-states,leading-economic-index,1966-12-01,42.5,points
united-states,leading-economic-index,1967-01-01,42.7,points
united-states,leading-economic-index,1967-02-01,42.5,points
united-states,leading-economic-index,1967-03-01,42.8,points
united-states,leading-economic-index,1967-04-01,42.9,points
united-states,leading-economic-index,1967-05-01,43.3,points
united-states,leading-economic-index,1967-06-01,43.6,points
united-states,leading-economic-index,1967-07-01,43.8,points
united-states,leading-economic-index,1967-08-01,44.3,points
united-states,leading-economic-index,1967-09-01,44.4,points
united-states,leading-economic-index,1967-10-01,44.6,points
united-states,leading-economic-index,1967-11-01,44.9,points
united-states,leading-economic-index,1967-12-01,45.3,points
united-states,leading-economic-index,1968-01-01,45.4,points
united-states,leading-economic-index,1968-02-01,45.6,points
united-states,leading-economic-index,1968-03-01,45.7,points
united-states,leading-economic-index,1968-04-01,45.8,points
united-states,leading-economic-index,1968-05-01,46.2,points
united-states,leading-economic-index,1968-06-01,46.4,points
united-states,leading-economic-index,1968-07-01,46.5,points
united-states,leading-economic-index,1968-08-01,46.3,points
united-states,leading-economic-index,1968-09-01,46.8,points
united-states,leading-economic-index,1968-10-01,47.2,points
united-states,leading-economic-index,1968-11-01,47.2,points
united-states,leading-economic-index,1968-12-01,47.3,points
united-states,leading-economic-index,1969-01-01,47.4,points
united-states,leading-economic-index,1969-02-01,47.5,points
united-states,leading-economic-index,1969-03-01,47.7,points
united-states,leading-economic-index,1969-04-01,47.9,points
united-states,leading-economic-index,1969-05-01,47.7,points
united-states,leading-economic-index,1969-06-01,47.4,points
united-states,leading-economic-index,1969-07-01,47.2,points
united-states,leading-economic-index,1969-08-01,47.1,points
united-states,leading-economic-index,1969-09-01,47.2,points
united-states,leading-economic-index,1969-10-01,46.9,points
united-states,leading-economic-index,1969-11-01,46.7,points
united-states,leading-economic-index,1969-12-01,46.4,points
united-states,leading-economic-index,1970-01-01,45.9,points
united-states,leading-economic-index,1970-02-01,45.6,points
united-states,leading-economic-index,1970-03-01,45.3,points
united-states,leading-economic-index,1970-04-01,44.9,points
united-states,leading-economic-index,1970-05-01,44.8,points
united-states,leading-economic-index,1970-06-01,44.9,points
united-states,leading-economic-index,1970-07-01,45.0,points
united-states,leading-economic-index,1970-08-01,45.1,points
united-states,leading-economic-index,1970-09-01,45.1,points
united-states,leading-economic-index,1970-10-01,45.0,points
united-states,leading-economic-index,1970-11-01,45.0,points
united-states,leading-economic-index,1970-12-01,45.7,points
united-states,leading-economic-index,1971-01-01,45.9,points
united-states,leading-economic-index,1971-02-01,46.4,points
united-states,leading-economic-index,1971-03-01,46.7,points
united-states,leading-economic-index,1971-04-01,46.9,points
united-states,leading-economic-index,1971-05-01,47.3,points
united-states,leading-economic-index,1971-06-01,47.4,points
united-states,leading-economic-index,1971-07-01,47.6,points
united-states,leading-economic-index,1971-08-01,47.7,points
united-states,leading-economic-index,1971-09-01,47.9,points
united-states,leading-economic-index,1971-10-01,48.2,points
united-states,leading-economic-index,1971-11-01,48.4,points
united-states,leading-economic-index,1971-12-01,48.9,points
united-states,leading-economic-index,1972-01-01,49.4,points
united-states,leading-economic-index,1972-02-01,50.0,points
united-states,leading-economic-index,1972-03-01,50.4,points
united-states,leading-economic-index,1972-04-01,50.7,points
united-states,leading-economic-index,1972-05-01,50.9,points
united-states,leading-economic-index,1972-06-01,51.3,points
united-states,leading-economic-index,1972-07-01,51.6,points
united-states,leading-economic-index,1972-08-01,52.3,points
united-states,leading-economic-index,1972-09-01,52.9,points
united-states,leading-economic-index,1972-10-01,53.3,points
united-states,leading-economic-index,1972-11-01,53.9,points
united-states,leading-economic-index,1972-12-01,54.5,points
united-states,leading-economic-index,1973-01-01,54.8,points
united-states,leading-economic-index,1973-02-01,55.0,points
united-states,leading-economic-index,1973-03-01,54.9,points
united-states,leading-economic-index,1973-04-01,54.7,points
united-states,leading-economic-index,1973-05-01,54.7,points
united-states,leading-economic-index,1973-06-01,54.6,points
united-states,leading-economic-index,1973-07-01,54.2,points
united-states,leading-economic-index,1973-08-01,53.8,points
united-states,leading-economic-index,1973-09-01,53.5,points
united-states,leading-economic-index,1973-10-01,53.4,points
united-states,leading-economic-index,1973-11-01,53.2,points
united-states,leading-economic-index,1973-12-01,52.5,points
united-states,leading-economic-index,1974-01-01,52.2,points
united-states,leading-economic-index,1974-02-01,51.9,points
united-states,leading-economic-index,1974-03-01,51.8,points
united-states,leading-economic-index,1974-04-01,51.1,points
united-states,leading-economic-index,1974-05-01,50.8,points
united-states,leading-economic-index,1974-06-01,50.3,points
united-states,leading-economic-index,1974-07-01,49.8,points
united-states,leading-economic-index,1974-08-01,48.9,points
united-states,leading-economic-index,1974-09-01,48.0,points
united-states,leading-economic-index,1974-10-01,47.4,points
united-states,leading-economic-index,1974-11-01,46.6,points
united-states,leading-economic-index,1974-12-01,45.9,points
united-states,leading-economic-index,1975-01-01,45.5,points
united-states,leading-economic-index,1975-02-01,45.4,points
united-states,leading-economic-index,1975-03-01,45.2,points
united-states,leading-economic-index,1975-04-01,45.8,points
united-states,leading-economic-index,1975-05-01,46.1,points
united-states,leading-economic-index,1975-06-01,46.4,points
united-states,leading-economic-index,1975-07-01,46.9,points
united-states,leading-economic-index,1975-08-01,47.1,points
united-states,leading-economic-index,1975-09-01,47.3,points
united-states,leading-economic-index,1975-10-01,47.6,points
united-states,leading-economic-index,1975-11-01,47.9,points
united-states,leading-economic-index,1975-12-01,48.2,points
united-states,leading-economic-index,1976-01-01,48.8,points
united-states,leading-economic-index,1976-02-01,49.6,points
united-states,leading-economic-index,1976-03-01,49.8,points
united-states,leading-economic-index,1976-04-01,50.0,points
united-states,leading-economic-index,1976-05-01,50.4,points
united-states,leading-economic-index,1976-06-01,50.6,points
united-states,leading-economic-index,1976-07-01,51.0,points
united-states,leading-economic-index,1976-08-01,51.2,points
united-states,leading-economic-index,1976-09-01,51.6,points
united-states,leading-economic-index,1976-10-01,51.7,points
united-states,leading-economic-index,1976-11-01,52.2,points
united-states,leading-economic-index,1976-12-01,52.7,points
united-states,leading-economic-index,1977-01-01,52.6,points
united-states,leading-economic-index,1977-02-01,53.0,points
united-states,leading-economic-index,1977-03-01,53.8,points
united-states,leading-economic-index,1977-04-01,53.9,points
united-states,leading-economic-index,1977-05-01,54.2,points
united-states,leading-economic-index,1977-06-01,54.6,points
united-states,leading-economic-index,1977-07-01,54.7,points
united-states,leading-economic-index,1977-08-01,54.9,points
united-states,leading-economic-index,1977-09-01,55.0,points
united-states,leading-economic-index,1977-10-01,55.2,points
united-states,leading-economic-index,1977-11-01,55.3,points
united-states,leading-economic-index,1977-12-01,55.5,points
united-states,leading-economic-index,1978-01-01,55.1,points
united-states,leading-economic-index,1978-02-01,55.4,points
united-states,leading-economic-index,1978-03-01,55.9,points
united-states,leading-economic-index,1978-04-01,56.6,points
united-states,leading-economic-index,1978-05-01,56.8,points
united-states,leading-economic-index,1978-06-01,57.1,points
united-states,leading-economic-index,1978-07-01,57.0,points
united-states,leading-economic-index,1978-08-01,57.4,points
united-states,leading-economic-index,1978-09-01,57.6,points
united-states,leading-economic-index,1978-10-01,57.7,points
united-states,leading-economic-index,1978-11-01,57.4,points
united-states,leading-economic-index,1978-12-01,57.4,points
united-states,leading-economic-index,1979-01-01,57.1,points
united-states,leading-economic-index,1979-02-01,57.0,points
united-states,leading-economic-index,1979-03-01,57.5,points
united-states,leading-economic-index,1979-04-01,56.5,points
united-states,leading-economic-index,1979-05-01,56.8,points
united-states,leading-economic-index,1979-06-01,56.5,points
united-states,leading-economic-index,1979-07-01,56.1,points
united-states,leading-economic-index,1979-08-01,55.8,points
united-states,leading-economic-index,1979-09-01,55.6,points
united-states,leading-economic-index,1979-10-01,55.0,points
united-states,leading-economic-index,1979-11-01,54.4,points
united-states,leading-economic-index,1979-12-01,54.0,points
united-states,leading-economic-index,1980-01-01,53.9,points
united-states,leading-economic-index,1980-02-01,53.7,points
united-states,leading-economic-index,1980-03-01,52.4,points
united-states,leading-economic-index,1980-04-01,50.8,points
united-states,leading-economic-index,1980-05-01,50.1,points
united-states,leading-economic-index,1980-06-01,50.4,points
united-states,leading-economic-index,1980-07-01,50.8,points
united-states,leading-economic-index,1980-08-01,51.2,points
united-states,leading-economic-index,1980-09-01,51.6,points
united-states,leading-economic-index,1980-10-01,52.0,points
united-states,leading-economic-index,1980-11-01,52.1,points
united-states,leading-economic-index,1980-12-01,51.8,points
united-states,leading-economic-index,1981-01-01,51.2,points
united-states,leading-economic-index,1981-02-01,50.9,points
united-states,leading-economic-index,1981-03-01,51.0,points
united-states,leading-economic-index,1981-04-01,51.3,points
united-states,leading-economic-index,1981-05-01,51.0,points
united-states,leading-economic-index,1981-06-01,50.6,points
united-states,leading-economic-index,1981-07-01,50.2,points
united-states,leading-economic-index,1981-08-01,50.0,points
united-states,leading-economic-index,1981-09-01,49.3,points
united-states,leading-economic-index,1981-10-01,49.0,points
united-states,leading-economic-index,1981-11-01,48.8,points
united-states,leading-economic-index,1981-12-01,48.7,points
united-states,leading-economic-index,1982-01-01,48.2,points
united-states,leading-economic-index,1982-02-01,48.5,points
united-states,leading-economic-index,1982-03-01,48.2,points
united-states,leading-economic-index,1982-04-01,48.2,points
united-states,leading-economic-index,1982-05-01,48.0,points
united-states,leading-economic-index,1982-06-01,47.6,points
united-states,leading-economic-index,1982-07-01,47.7,points
united-states,leading-economic-index,1982-08-01,47.4,points
united-states,leading-economic-index,1982-09-01,47.8,points
united-states,leading-economic-index,1982-10-01,47.9,points
united-states,leading-economic-index,1982-11-01,48.1,points
united-states,leading-economic-index,1982-12-01,48.5,points
united-states,leading-economic-index,1983-01-01,49.4,points
united-states,leading-economic-index,1983-02-01,50.0,points
united-states,leading-economic-index,1983-03-01,50.7,points
united-states,leading-economic-index,1983-04-01,51.1,points
united-states,leading-economic-index,1983-05-01,51.9,points
united-states,leading-economic-index,1983-06-01,52.5,points
united-states,leading-economic-index,1983-07-01,53.1,points
united-states,leading-economic-index,1983-08-01,53.3,points
united-states,leading-economic-index,1983-09-01,54.0,points
united-states,leading-economic-index,1983-10-01,54.7,points
united-states,leading-economic-index,1983-11-01,55.1,points
united-states,leading-economic-index,1983-12-01,55.7,points
united-states,leading-economic-index,1984-01-01,56.3,points
united-states,leading-economic-index,1984-02-01,56.8,points
united-states,leading-economic-index,1984-03-01,56.9,points
united-states,leading-economic-index,1984-04-01,57.2,points
united-states,leading-economic-index,1984-05-01,57.6,points
united-states,leading-economic-index,1984-06-01,57.8,points
united-states,leading-economic-index,1984-07-01,57.9,points
united-states,leading-economic-index,1984-08-01,58.0,points
united-states,leading-economic-index,1984-09-01,58.0,points
united-states,leading-economic-index,1984-10-01,58.1,points
united-states,leading-economic-index,1984-11-01,58.5,points
united-states,leading-economic-index,1984-12-01,58.9,points
united-states,leading-economic-index,1985-01-01,59.2,points
united-states,leading-economic-index,1985-02-01,59.5,points
united-states,leading-economic-index,1985-03-01,59.7,points
united-states,leading-economic-index,1985-04-01,59.7,points
united-states,leading-economic-index,1985-05-01,60.0,points
united-states,leading-economic-index,1985-06-01,60.3,points
united-states,leading-economic-index,1985-07-01,60.5,points
united-states,leading-economic-index,1985-08-01,60.7,points
united-states,leading-economic-index,1985-09-01,60.9,points
united-states,leading-economic-index,1985-10-01,61.0,points
united-states,leading-economic-index,1985-11-01,61.2,points
united-states,leading-economic-index,1985-12-01,61.5,points
united-states,leading-economic-index,1986-01-01,61.7,points
united-states,leading-economic-index,1986-02-01,61.9,points
united-states,leading-economic-index,1986-03-01,62.0,points
united-states,leading-economic-index,1986-04-01,62.3,points
united-states,leading-economic-index,1986-05-01,62.5,points
united-states,leading-economic-index,1986-06-01,63.0,points
united-states,leading-economic-index,1986-07-01,62.9,points
united-states,leading-economic-index,1986-08-01,63.1,points
united-states,leading-economic-index,1986-09-01,63.3,points
united-states,leading-economic-index,1986-10-01,63.4,points
united-states,leading-economic-index,1986-11-01,63.6,points
united-states,leading-economic-index,1986-12-01,64.0,points
united-states,leading-economic-index,1987-01-01,64.0,points
united-states,leading-economic-index,1987-02-01,64.4,points
united-states,leading-economic-index,1987-03-01,64.6,points
united-states,leading-economic-index,1987-04-01,64.6,points
united-states,leading-economic-index,1987-05-01,64.8,points
united-states,leading-economic-index,1987-06-01,65.1,points
united-states,leading-economic-index,1987-07-01,65.4,points
united-states,leading-economic-index,1987-08-01,65.6,points
united-states,leading-economic-index,1987-09-01,66.0,points
united-states,leading-economic-index,1987-10-01,66.2,points
united-states,leading-economic-index,1987-11-01,65.9,points
united-states,leading-economic-index,1987-12-01,66.0,points
united-states,leading-economic-index,1988-01-01,66.1,points
united-states,leading-economic-index,1988-02-01,66.6,points
united-states,leading-economic-index,1988-03-01,66.9,points
united-states,leading-economic-index,1988-04-01,67.0,points
united-states,leading-economic-index,1988-05-01,67.3,points
united-states,leading-economic-index,1988-06-01,67.7,points
united-states,leading-economic-index,1988-07-01,67.7,points
united-states,leading-economic-index,1988-08-01,67.9,points
united-states,leading-economic-index,1988-09-01,68.0,points
united-states,leading-economic-index,1988-10-01,68.3,points
united-states,leading-economic-index,1988-11-01,68.4,points
united-states,leading-economic-index,1988-12-01,68.6,points
united-states,leading-economic-index,1989-01-01,68.7,points
united-states,leading-economic-index,1989-02-01,68.7,points
united-states,leading-economic-index,1989-03-01,68.3,points
united-states,leading-economic-index,1989-04-01,68.4,points
united-states,leading-economic-index,1989-05-01,68.2,points
united-states,leading-economic-index,1989-06-01,68.1,points
united-states,leading-economic-index,1989-07-01,67.8,points
united-states,leading-economic-index,1989-08-01,68.0,points
united-states,leading-economic-index,1989-09-01,68.0,points
united-states,leading-economic-index,1989-10-01,67.8,points
united-states,leading-economic-index,1989-11-01,67.9,points
united-states,leading-economic-index,1989-12-01,67.9,points
united-states,leading-economic-index,1990-01-01,67.8,points
united-states,leading-economic-index,1990-02-01,67.6,points
united-states,leading-economic-index,1990-03-01,67.6,points
united-states,leading-economic-index,1990-04-01,67.4,points
united-states,leading-economic-index,1990-05-01,67.3,points
united-states,leading-economic-index,1990-06-01,67.3,points
united-states,leading-economic-index,1990-07-01,67.0,points
united-states,leading-economic-index,1990-08-01,66.0,points
united-states,leading-economic-index,1990-09-01,65.1,points
united-states,leading-economic-index,1990-10-01,64.2,points
united-states,leading-economic-index,1990-11-01,63.0,points
united-states,leading-economic-index,1990-12-01,62.3,points
united-states,leading-economic-index,1991-01-01,61.4,points
united-states,leading-economic-index,1991-02-01,61.3,points
united-states,leading-economic-index,1991-03-01,61.0,points
united-states,leading-economic-index,1991-04-01,61.6,points
united-states,leading-economic-index,1991-05-01,61.9,points
united-states,leading-economic-index,1991-06-01,61.9,points
united-states,leading-economic-index,1991-07-01,62.5,points
united-states,leading-economic-index,1991-08-01,62.7,points
united-states,leading-economic-index,1991-09-01,63.1,points
united-states,leading-economic-index,1991-10-01,63.1,points
united-states,leading-economic-index,1991-11-01,63.0,points
united-states,leading-economic-index,1991-12-01,62.9,points
united-states,leading-economic-index,1992-01-01,63.4,points
united-states,leading-economic-index,1992-02-01,63.6,points
