country,indicator,date,value,unit
united-states,total-vehicle-sales,1976-01-01,12.512,Million
united-states,total-vehicle-sales,1976-02-01,13.044,Million
united-states,total-vehicle-sales,1976-03-01,13.085,Million
united-states,total-vehicle-sales,1976-04-01,12.915,Million
united-states,total-vehicle-sales,1976-05-01,12.645,Million
united-states,total-vehicle-sales,1976-06-01,12.727,Million
united-states,total-vehicle-sales,1976-07-01,13.122,Million
united-states,total-vehicle-sales,1976-08-01,12.594,Million
united-states,total-vehicle-sales,1976-09-01,13.209,Million
united-states,total-vehicle-sales,1976-10-01,12.537,Million
united-states,total-vehicle-sales,1976-11-01,13.006,Million
united-states,total-vehicle-sales,1976-12-01,14.197,Million
united-states,total-vehicle-sales,1977-01-01,14.019,Million
united-states,total-vehicle-sales,1977-02-01,14.335,Million
united-states,total-vehicle-sales,1977-03-01,14.782,Million
united-states,total-vehicle-sales,1977-04-01,14.753,Million
united-states,total-vehicle-sales,1977-05-01,14.605,Million
united-states,total-vehicle-sales,1977-06-01,14.571,Million
united-states,total-vehicle-sales,1977-07-01,14.306,Million
united-states,total-vehicle-sales,1977-08-01,14.488,Million
united-states,total-vehicle-sales,1977-09-01,14.274,Million
united-states,total-vehicle-sales,1977-10-01,14.511,Million
united-states,total-vehicle-sales,1977-11-01,14.396,Million
united-states,total-vehicle-sales,1977-12-01,14.789,Million
united-states,total-vehicle-sales,1978-01-01,13.334,Million
united-states,total-vehicle-sales,1978-02-01,13.969,Million
united-states,total-vehicle-sales,1978-03-01,14.714,Million
united-states,total-vehicle-sales,1978-04-01,15.757,Million
united-states,total-vehicle-sales,1978-05-01,15.83,Million
united-states,total-vehicle-sales,1978-06-01,15.868,Million
united-states,total-vehicle-sales,1978-07-01,15.086,Million
united-states,total-vehicle-sales,1978-08-01,15.676,Million
united-states,total-vehicle-sales,1978-09-01,14.195,Million
united-states,total-vehicle-sales,1978-10-01,15.391,Million
united-states,total-vehicle-sales,1978-11-01,15.015,Million
united-states,total-vehicle-sales,1978-12-01,14.839,Million
united-states,total-vehicle-sales,1979-01-01,14.626,Million
united-states,total-vehicle-sales,1979-02-01,14.856,Million
united-states,total-vehicle-sales,1979-03-01,14.839,Million
united-states,total-vehicle-sales,1979-04-01,14.304,Million
united-states,total-vehicle-sales,1979-05-01,13.966,Million
united-states,total-vehicle-sales,1979-06-01,12.363,Million
united-states,total-vehicle-sales,1979-07-01,13.712,Million
united-states,total-vehicle-sales,1979-08-01,13.999,Million
united-states,total-vehicle-sales,1979-09-01,13.953,Million
united-states,total-vehicle-sales,1979-10-01,12.733,Million
united-states,total-vehicle-sales,1979-11-01,12.667,Million
united-states,total-vehicle-sales,1979-12-01,13.198,Million
united-states,total-vehicle-sales,1980-01-01,14.115,Million
united-states,total-vehicle-sales,1980-02-01,12.967,Million
united-states,total-vehicle-sales,1980-03-01,11.797,Million
united-states,total-vehicle-sales,1980-04-01,10.198,Million
united-states,total-vehicle-sales,1980-05-01,9.31,Million
united-states,total-vehicle-sales,1980-06-01,10.181,Million
united-states,total-vehicle-sales,1980-07-01,11.381,Million
united-states,total-vehicle-sales,1980-08-01,10.86,Million
united-states,total-vehicle-sales,1980-09-01,10.622,Million
united-states,total-vehicle-sales,1980-10-01,11.146,Million
united-states,total-vehicle-sales,1980-11-01,11.014,Million
united-states,total-vehicle-sales,1980-12-01,10.718,Million
united-states,total-vehicle-sales,1981-01-01,11.036,Million
united-states,total-vehicle-sales,1981-02-01,12.116,Million
united-states,total-vehicle-sales,1981-03-01,12.185,Million
united-states,total-vehicle-sales,1981-04-01,10.212,Million
united-states,total-vehicle-sales,1981-05-01,10.136,Million
united-states,total-vehicle-sales,1981-06-01,10.205,Million
united-states,total-vehicle-sales,1981-07-01,10.206,Million
united-states,total-vehicle-sales,1981-08-01,12.457,Million
united-states,total-vehicle-sales,1981-09-01,10.863,Million
united-states,total-vehicle-sales,1981-10-01,9.209,Million
united-states,total-vehicle-sales,1981-11-01,9.294,Million
united-states,total-vehicle-sales,1981-12-01,8.849,Million
united-states,total-vehicle-sales,1982-01-01,10.075,Million
united-states,total-vehicle-sales,1982-02-01,10.725,Million
united-states,total-vehicle-sales,1982-03-01,10.457,Million
united-states,total-vehicle-sales,1982-04-01,9.541,Million
united-states,total-vehicle-sales,1982-05-01,10.9,Million
united-states,total-vehicle-sales,1982-06-01,9.42,Million
united-states,total-vehicle-sales,1982-07-01,9.585,Million
united-states,total-vehicle-sales,1982-08-01,9.779,Million
united-states,total-vehicle-sales,1982-09-01,10.958,Million
united-states,total-vehicle-sales,1982-10-01,9.981,Million
united-states,total-vehicle-sales,1982-11-01,11.866,Million
united-states,total-vehicle-sales,1982-12-01,11.073,Million
united-states,total-vehicle-sales,1983-01-01,10.688,Million
united-states,total-vehicle-sales,1983-02-01,10.441,Million
united-states,total-vehicle-sales,1983-03-01,10.832,Million
united-states,total-vehicle-sales,1983-04-01,11.507,Million
united-states,total-vehicle-sales,1983-05-01,11.865,Million
united-states,total-vehicle-sales,1983-06-01,12.785,Million
united-states,total-vehicle-sales,1983-07-01,12.733,Million
united-states,total-vehicle-sales,1983-08-01,12.048,Million
united-states,total-vehicle-sales,1983-09-01,12.258,Million
united-states,total-vehicle-sales,1983-10-01,13.103,Million
