company,base_date,base_close,target_date,horizon,actual_close,predicted_close,actual_ret,predicted_ret,actual_dir,predicted_dir,hit
Alphabet Inc.,2022-03-02,134.75,2022-03-03,1,134.31,134.48998078621761,-0.003265306122448963,-0.0019296416607227113,down,flat,0.0
Alphabet Inc.,2022-03-02,134.75,2022-03-04,2,132.12,134.4545993577475,-0.01951762523191091,-0.002192212558460131,down,down,1.0
Alphabet Inc.,2022-03-02,134.75,2022-03-07,3,126.46,134.50769550352587,-0.06152133580705014,-0.001798178081440695,down,flat,0.0
Alphabet Inc.,2022-03-02,134.75,2022-03-08,4,127.28,134.71587286915565,-0.055435992578849715,-0.0002532625665629226,down,flat,0.0
Alphabet Inc.,2022-03-02,134.75,2022-03-09,5,133.87,134.50367556769822,-0.006530612244897926,-0.0018280106293267246,down,flat,0.0
Alphabet Inc.,2022-03-03,134.31,2022-03-04,1,132.12,135.1980053309117,-0.0163055617601072,0.006611609939034399,down,up,0.0
Alphabet Inc.,2022-03-03,134.31,2022-03-07,2,126.46,135.20141858239054,-0.058446876628694876,0.0066370231731854865,down,up,0.0
Alphabet Inc.,2022-03-03,134.31,2022-03-08,3,127.28,135.35442331637486,-0.05234159779614326,0.007776214104496021,down,up,0.0
Alphabet Inc.,2022-03-03,134.31,2022-03-09,4,133.87,135.04891205956437,-0.003276003276003259,0.005501541654116375,down,up,0.0
Alphabet Inc.,2022-03-03,134.31,2022-03-10,5,132.68,135.53193945221147,-0.01213610304519392,0.009097903746641892,down,up,0.0
Alphabet Inc.,2022-03-04,132.12,2022-03-07,1,126.46,132.01867919402886,-0.04283984256736308,-0.0007668846955127284,down,flat,0.0
Alphabet Inc.,2022-03-04,132.12,2022-03-08,2,127.28,131.97604119948411,-0.03663336360884047,-0.001089606422312213,down,flat,0.0
Alphabet Inc.,2022-03-04,132.12,2022-03-09,3,133.87,131.92179999095916,0.013245534362700574,-0.0015001514459646247,up,flat,0.0
Alphabet Inc.,2022-03-04,132.12,2022-03-10,4,132.68,132.46539948122518,0.004238570996064201,0.0026142861128154115,up,up,1.0
Alphabet Inc.,2022-03-04,132.12,2022-03-11,5,130.48,132.85417690513162,-0.012412957917045222,0.0055568945286982975,down,up,0.0
Alphabet Inc.,2022-03-07,126.46,2022-03-08,1,127.28,128.95178092201078,0.006484263798829729,0.01970410344781583,up,up,1.0
Alphabet Inc.,2022-03-07,126.46,2022-03-09,2,133.87,128.67841407009985,0.05859560335283893,0.017542417128735208,up,up,1.0
Alphabet Inc.,2022-03-07,126.46,2022-03-10,3,132.68,129.4058313254629,0.04918551320575687,0.023294570025801986,up,up,1.0
Alphabet Inc.,2022-03-07,126.46,2022-03-11,4,130.48,129.84768891474005,0.03178870789182347,0.026788620233592072,up,up,1.0
Alphabet Inc.,2022-03-07,126.46,2022-03-14,5,126.74,130.01040957193442,0.0022141388581369695,0.028075356412576497,up,up,1.0
Alphabet Inc.,2022-03-08,127.28,2022-03-09,1,133.87,127.33896279061477,0.05177561282212448,0.0004632525975390569,up,flat,0.0
Alphabet Inc.,2022-03-08,127.28,2022-03-10,2,132.68,128.00137563788135,0.04242614707730991,0.005667627576063415,up,up,1.0
Alphabet Inc.,2022-03-08,127.28,2022-03-11,3,130.48,128.54185051067395,0.02514142049025761,0.009913973213968825,up,up,1.0
Alphabet Inc.,2022-03-08,127.28,2022-03-14,4,126.74,128.7471153838767,-0.004242614707731036,0.01152667649180302,down,up,0.0
Alphabet Inc.,2022-03-08,127.28,2022-03-15,5,129.66,128.82257352681233,0.018698931489629127,0.012119528023352713,up,up,1.0
Alphabet Inc.,2022-03-09,133.87,2022-03-10,1,132.68,133.9496045834514,-0.008889220885934098,0.0005946409460774241,down,flat,0.0
Alphabet Inc.,2022-03-09,133.87,2022-03-11,2,130.48,134.63606597788154,-0.02532307462463595,0.005722461924863962,down,up,0.0
Alphabet Inc.,2022-03-09,133.87,2022-03-14,3,126.74,134.3321117924722,-0.05326062598042884,0.0034519443674624634,down,up,0.0
Alphabet Inc.,2022-03-09,133.87,2022-03-15,4,129.66,134.1314224822645,-0.031448420109061084,0.001952808562519555,down,flat,0.0
Alphabet Inc.,2022-03-09,133.87,2022-03-16,5,133.69,134.10598151909926,-0.0013445880331665557,0.0017627662590517287,flat,flat,1.0
Alphabet Inc.,2022-03-10,132.68,2022-03-11,1,130.48,132.60434246235894,-0.01658124811576739,-0.000570225637933854,down,flat,0.0
Alphabet Inc.,2022-03-10,132.68,2022-03-14,2,126.74,132.41798976037393,-0.04476936991257169,-0.001974753087323478,down,flat,0.0
Alphabet Inc.,2022-03-10,132.68,2022-03-15,3,129.66,132.401200663704,-0.022761531504371497,-0.0021012913498342153,down,down,1.0
Alphabet Inc.,2022-03-10,132.68,2022-03-16,4,133.69,132.60260000135418,0.007612300271329446,-0.0005833584462302584,up,flat,0.0
Alphabet Inc.,2022-03-10,132.68,2022-03-17,5,134.6,132.76747261458274,0.014470907446487696,0.0006592750571505629,up,flat,0.0
Alphabet Inc.,2022-03-11,130.48,2022-03-14,1,126.74,132.2255393136865,-0.028663396689147726,0.01337783042371644,down,up,0.0
