company,horizon,directional_accuracy
Alphabet Inc.,1,0.39267015706806285
Alphabet Inc.,2,0.4109947643979058
Alphabet Inc.,3,0.42670157068062825
Alphabet Inc.,4,0.443717277486911
Alphabet Inc.,5,0.418848167539267
"Amazon.com, Inc.",1,0.36897001303780963
"Amazon.com, Inc.",2,0.41199478487614083
"Amazon.com, Inc.",3,0.39504563233376794
"Amazon.com, Inc.",4,0.40808344198174706
"Amazon.com, Inc.",5,0.41199478487614083
Apple Inc.,1,0.3363754889178618
Apple Inc.,2,0.35984354628422427
Apple Inc.,3,0.35984354628422427
Apple Inc.,4,0.3820078226857888
Apple Inc.,5,0.4028683181225554
"Meta Platforms, Inc.",1,0.391304347826087
"Meta Platforms, Inc.",2,0.4052795031055901
"Meta Platforms, Inc.",3,0.4052795031055901
"Meta Platforms, Inc.",4,0.40683229813664595
"Meta Platforms, Inc.",5,0.40683229813664595
Microsoft Corporation,1,0.3754889178617992
Microsoft Corporation,2,0.3963494132985658
Microsoft Corporation,3,0.40547588005215124
Microsoft Corporation,4,0.38852672750977835
Microsoft Corporation,5,0.37809647979139505
NVIDIA Corporation,1,0.4427083333333333
NVIDIA Corporation,2,0.4322916666666667
NVIDIA Corporation,3,0.4596354166666667
NVIDIA Corporation,4,0.4856770833333333
NVIDIA Corporation,5,0.45703125
"Tesla, Inc.",1,0.40054127198917455
"Tesla, Inc.",2,0.41948579161028415
"Tesla, Inc.",3,0.435723951285521
"Tesla, Inc.",4,0.42625169147496617
"Tesla, Inc.",5,0.43031123139377536
