company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2896,724,0.46408839779005523,0.39156116397489366,0.3814262023217247,0.35455187481315953,1,0.2
"Amazon.com, Inc.",2908,727,0.48830811554332876,0.4023228035356598,0.39504132231404954,0.3469856219920736,1,0.2
Apple Inc.,2908,727,0.390646492434663,0.3651844440194784,0.3983471074380165,0.36058135346463793,1,0.2
"Meta Platforms, Inc.",2414,603,0.40630182421227196,0.3638998682476943,0.28247011952191237,0.2488279412988875,1,0.2
Microsoft Corporation,2908,727,0.4855570839064649,0.3739296436366842,0.39404958677685953,0.3689092502692822,1,0.2
NVIDIA Corporation,2911,728,0.4807692307692308,0.3321769321421573,0.3834983498349835,0.3079838471878124,1,0.2
"Tesla, Inc.",2795,699,0.3805436337625179,0.35801538892897894,0.30859106529209623,0.2882238349603774,1,0.2
Alphabet Inc.,2895,724,0.4544198895027624,0.34443657124025767,0.3270315091210613,0.29200528811785953,2,0.2
"Amazon.com, Inc.",2908,727,0.4346629986244842,0.3445921508017556,0.33950413223140496,0.27848216579019414,2,0.2
Apple Inc.,2907,727,0.30398899587345257,0.27296578972183294,0.2684297520661157,0.2557296074121124,2,0.2
"Meta Platforms, Inc.",2413,603,0.4228855721393035,0.32227674833714526,0.28764940239043824,0.23682230409066687,2,0.2
Microsoft Corporation,2907,727,0.4855570839064649,0.3073517126148705,0.39471074380165294,0.3261330883115533,2,0.2
NVIDIA Corporation,2910,728,0.4835164835164835,0.33497631082184026,0.36666666666666664,0.25836341176014666,2,0.2
"Tesla, Inc.",2794,699,0.3590844062947067,0.3065702437462127,0.31305841924398625,0.25813342895994795,2,0.2
Alphabet Inc.,2895,724,0.4544198895027624,0.35115910199257244,0.37512437810945276,0.3174364828120307,3,0.2
"Amazon.com, Inc.",2907,727,0.39614855570839064,0.34258130093515754,0.2793388429752066,0.23737275216593315,3,0.2
Apple Inc.,2906,727,0.48693259972489683,0.310058879286656,0.22578512396694217,0.19464547804766824,3,0.2
"Meta Platforms, Inc.",2412,603,0.38474295190713104,0.3117303029510141,0.23545816733067726,0.19460975471423198,3,0.2
Microsoft Corporation,2906,727,0.4497936726272352,0.30786990786990787,0.3808264462809917,0.30748255296383153,3,0.2
NVIDIA Corporation,2910,728,0.5123626373626373,0.3070785251899803,0.40462046204620467,0.2543083476076269,3,0.2
"Tesla, Inc.",2794,698,0.37965616045845274,0.3216828148822968,0.27835051546391754,0.23619681019646185,3,0.2
Alphabet Inc.,2895,724,0.4212707182320442,0.2990405653816297,0.2626865671641791,0.23050050135294636,4,0.2
"Amazon.com, Inc.",2907,727,0.3658872077028886,0.3170989690226064,0.32165289256198343,0.2740993086039697,4,0.2
Apple Inc.,2906,727,0.4731774415405777,0.30424353986249986,0.3385123966942149,0.26541971347760596,4,0.2
"Meta Platforms, Inc.",2412,603,0.4660033167495854,0.36827434558978184,0.3254980079681275,0.2555080459414385,4,0.2
Microsoft Corporation,2906,727,0.48418156808803303,0.31874086351475106,0.36033057851239675,0.2827931460601031,4,0.2
NVIDIA Corporation,2910,727,0.45392022008253097,0.2852980153196136,0.3603960396039604,0.2651868765579689,4,0.2
"Tesla, Inc.",2794,698,0.40974212034383956,0.3217377766141151,0.3515463917525773,0.26040316409229314,4,0.2
Alphabet Inc.,2895,724,0.3328729281767956,0.2629676340278877,0.22056384742951907,0.19738914331270943,5,0.2
"Amazon.com, Inc.",2907,727,0.35075653370013754,0.2994502840859542,0.3097520661157025,0.25448360986134444,5,0.2
Apple Inc.,2906,726,0.30303030303030304,0.2577040660063048,0.24793388429752064,0.23816697052738317,5,0.2
"Meta Platforms, Inc.",2411,603,0.3200663349917081,0.2640672580431616,0.30159362549800794,0.2249255000505761,5,0.2
Microsoft Corporation,2906,726,0.4738292011019284,0.31896891683531425,0.336198347107438,0.2549656826718935,5,0.2
NVIDIA Corporation,2910,727,0.3631361760660248,0.2618628295849013,0.31551155115511553,0.2362823924286021,5,0.2
"Tesla, Inc.",2794,698,0.43123209169054444,0.3147701608910209,0.35326460481099653,0.2477128291199488,5,0.2
