company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2896,724,0.48066298342541436,0.3685832330221599,0.5608623548922057,0.3663636661511217,1,0.1
"Amazon.com, Inc.",2908,727,0.5240715268225584,0.4059336298671961,0.412892561983471,0.3224387259956087,1,0.1
Apple Inc.,2908,727,0.5832187070151307,0.3278000015964659,0.5074380165289256,0.3527822642051872,1,0.1
"Meta Platforms, Inc.",2414,603,0.6500829187396352,0.37654682918645577,0.6330677290836653,0.33339252054887164,1,0.1
Microsoft Corporation,2908,727,0.45254470426409904,0.33828830712556207,0.5147107438016529,0.33254945408342784,1,0.1
NVIDIA Corporation,2911,728,0.44505494505494503,0.33980760246314023,0.4217821782178217,0.31998092083432644,1,0.1
"Tesla, Inc.",2795,699,0.5164520743919886,0.3520149679881499,0.48006872852233684,0.3201672672431582,1,0.1
Alphabet Inc.,2895,724,0.39640883977900554,0.31511291724551266,0.3950248756218906,0.3399932660817216,2,0.1
"Amazon.com, Inc.",2908,727,0.3177441540577717,0.31288527775741176,0.3176859504132231,0.30902715020481625,2,0.1
Apple Inc.,2907,727,0.3892709766162311,0.3591329704442341,0.3933884297520661,0.33669109954674253,2,0.1
"Meta Platforms, Inc.",2413,603,0.3864013266998342,0.3419475271243933,0.35936254980079685,0.29504723049383347,2,0.1
Microsoft Corporation,2907,727,0.3672627235213205,0.3060398977902407,0.3775206611570248,0.32097644015730975,2,0.1
NVIDIA Corporation,2910,728,0.38324175824175827,0.345700839470412,0.30462046204620463,0.27796969621292783,2,0.1
"Tesla, Inc.",2794,699,0.39198855507868385,0.37425797890914164,0.3508591065292096,0.31214515178082664,2,0.1
Alphabet Inc.,2895,724,0.3701657458563536,0.2972542304977393,0.32902155887230516,0.2997783023302988,3,0.1
"Amazon.com, Inc.",2907,727,0.3356258596973865,0.3160896751563215,0.3196694214876033,0.2876747803397461,3,0.1
Apple Inc.,2906,727,0.3810178817056396,0.3618261844071135,0.33223140495867776,0.30716431848104553,3,0.1
"Meta Platforms, Inc.",2412,603,0.3150912106135987,0.30088945728443967,0.32589641434262945,0.2734810865178683,3,0.1
Microsoft Corporation,2906,727,0.3576341127922971,0.3239013279345046,0.3414876033057851,0.2922979874615186,3,0.1
NVIDIA Corporation,2910,728,0.3695054945054945,0.3280464503357847,0.3217821782178218,0.2808060344479716,3,0.1
"Tesla, Inc.",2794,698,0.3839541547277937,0.38004370950234784,0.3398625429553264,0.31302104621546367,3,0.1
Alphabet Inc.,2895,724,0.39640883977900554,0.298497301784973,0.31840796019900497,0.29352586507925027,4,0.1
"Amazon.com, Inc.",2907,727,0.32737276478679506,0.3060984649144379,0.32694214876033056,0.2743618893443236,4,0.1
Apple Inc.,2906,727,0.41127922971114167,0.3651196395936929,0.3309090909090909,0.30433338064422755,4,0.1
"Meta Platforms, Inc.",2412,603,0.30016583747927034,0.30018756693870186,0.3179282868525896,0.29198705077382636,4,0.1
Microsoft Corporation,2906,727,0.3878954607977992,0.3199447070583118,0.34710743801652894,0.3058609017550478,4,0.1
NVIDIA Corporation,2910,727,0.4016506189821183,0.37333415843980783,0.33003300330033003,0.2759491427976687,4,0.1
"Tesla, Inc.",2794,698,0.37392550143266473,0.36298759627179833,0.34776632302405497,0.3126342903852935,4,0.1
Alphabet Inc.,2895,724,0.39502762430939226,0.30921929410870885,0.2991708126036484,0.27069588953387436,5,0.1
"Amazon.com, Inc.",2907,727,0.33975240715268223,0.31423821423275244,0.3246280991735537,0.2753504728696326,5,0.1
Apple Inc.,2906,726,0.33608815426997246,0.32933640817458243,0.3176859504132231,0.29386828472345644,5,0.1
"Meta Platforms, Inc.",2411,603,0.2885572139303483,0.2681705871513553,0.30159362549800794,0.2562933850819028,5,0.1
Microsoft Corporation,2906,726,0.4090909090909091,0.27102263917481456,0.3497520661157024,0.31675815518226025,5,0.1
NVIDIA Corporation,2910,727,0.40440165061898214,0.3570504102633845,0.3227722772277228,0.2570998082320263,5,0.1
"Tesla, Inc.",2794,698,0.35959885386819485,0.3415437897675237,0.3343642611683849,0.29510284301551726,5,0.1
