company,horizon,down,flat,up
Alphabet Inc.,1,0.08064516129032258,0.5241935483870968,0.3951612903225806
Alphabet Inc.,1,0.0391304347826087,0.55,0.4108695652173913
Alphabet Inc.,1,0.02857142857142857,0.36428571428571427,0.6071428571428571
"Amazon.com, Inc.",1,0.1984732824427481,0.6564885496183206,0.1450381679389313
"Amazon.com, Inc.",1,0.15938864628820962,0.6681222707423581,0.17248908296943233
"Amazon.com, Inc.",1,0.14492753623188406,0.5,0.35507246376811596
Apple Inc.,1,0.14393939393939395,0.8333333333333334,0.022727272727272728
Apple Inc.,1,0.0625,0.8950892857142857,0.04241071428571429
Apple Inc.,1,0.04081632653061224,0.9319727891156463,0.027210884353741496
"Meta Platforms, Inc.",1,0.13414634146341464,0.8048780487804879,0.06097560975609756
"Meta Platforms, Inc.",1,0.03722084367245657,0.9181141439205955,0.04466501240694789
"Meta Platforms, Inc.",1,0.00847457627118644,0.8983050847457628,0.09322033898305085
Microsoft Corporation,1,0.08130081300813008,0.5365853658536586,0.3821138211382114
Microsoft Corporation,1,0.06209850107066381,0.5438972162740899,0.39400428265524623
Microsoft Corporation,1,0.029197080291970802,0.49635036496350365,0.4744525547445255
NVIDIA Corporation,1,0.10185185185185185,0.5740740740740741,0.32407407407407407
NVIDIA Corporation,1,0.1300639658848614,0.5223880597014925,0.34754797441364604
NVIDIA Corporation,1,0.09271523178807947,0.45695364238410596,0.4503311258278146
"Tesla, Inc.",1,0.24427480916030533,0.7022900763358778,0.05343511450381679
"Tesla, Inc.",1,0.18691588785046728,0.735981308411215,0.07710280373831775
"Tesla, Inc.",1,0.18571428571428572,0.7142857142857143,0.1
Alphabet Inc.,2,0.015,0.47,0.515
Alphabet Inc.,2,0.013422818791946308,0.49328859060402686,0.49328859060402686
Alphabet Inc.,2,0.008849557522123894,0.38495575221238937,0.6061946902654868
"Amazon.com, Inc.",2,0.2561576354679803,0.270935960591133,0.4729064039408867
"Amazon.com, Inc.",2,0.2772585669781931,0.2554517133956386,0.4672897196261682
"Amazon.com, Inc.",2,0.22167487684729065,0.30049261083743845,0.47783251231527096
Apple Inc.,2,0.15979381443298968,0.3247422680412371,0.5154639175257731
Apple Inc.,2,0.11864406779661017,0.37966101694915255,0.5016949152542373
Apple Inc.,2,0.09243697478991597,0.31932773109243695,0.5882352941176471
"Meta Platforms, Inc.",2,0.2972972972972973,0.5135135135135135,0.1891891891891892
