company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2896,724,0.4986187845303867,0.3842153113237852,0.5781094527363184,0.3773584352467988,1,0.1
"Amazon.com, Inc.",2908,727,0.546079779917469,0.42670947689420596,0.47338842975206613,0.3697719916215335,1,0.1
Apple Inc.,2908,727,0.5859697386519945,0.3816147712091164,0.5487603305785124,0.37298220726975606,1,0.1
"Meta Platforms, Inc.",2414,603,0.6384742951907131,0.3817426118392524,0.6362549800796813,0.374573328216737,1,0.1
Microsoft Corporation,2908,727,0.48830811554332876,0.3719686360748709,0.540495867768595,0.3588507752436052,1,0.1
NVIDIA Corporation,2911,728,0.48214285714285715,0.34909063400567747,0.4656765676567657,0.33729561713105427,1,0.1
"Tesla, Inc.",2795,699,0.5164520743919886,0.3507057127837631,0.5,0.3389630370122167,1,0.1
Alphabet Inc.,2895,724,0.4143646408839779,0.3278771278771279,0.41625207296849087,0.3574832110292312,2,0.1
"Amazon.com, Inc.",2908,727,0.33975240715268223,0.3326846676776951,0.3371900826446281,0.3260795569650716,2,0.1
Apple Inc.,2907,727,0.40440165061898214,0.38337582223900796,0.3933884297520661,0.3302062233360125,2,0.1
"Meta Platforms, Inc.",2413,603,0.41127694859038144,0.35787758986748663,0.3756972111553785,0.30806990532118494,2,0.1
Microsoft Corporation,2907,727,0.37276478679504815,0.3018023498088438,0.38380165289256196,0.32465290523582385,2,0.1
NVIDIA Corporation,2910,728,0.38461538461538464,0.34157029114259085,0.3174917491749175,0.28800390114710195,2,0.1
"Tesla, Inc.",2794,699,0.38626609442060084,0.36841144356211003,0.3536082474226804,0.31337552968598337,2,0.1
Alphabet Inc.,2895,724,0.3812154696132597,0.3056021257408053,0.34295190713101165,0.314941147637009,3,0.1
"Amazon.com, Inc.",2907,727,0.3356258596973865,0.3177426692040583,0.32231404958677684,0.29278877748939336,3,0.1
Apple Inc.,2906,727,0.3700137551581843,0.34601837817236625,0.33917355371900826,0.31125610232814804,3,0.1
"Meta Platforms, Inc.",2412,603,0.33001658374792703,0.31744999401125884,0.3274900398406374,0.2841801923973014,3,0.1
Microsoft Corporation,2906,727,0.36451169188445665,0.33506721564070824,0.343801652892562,0.29663437184156066,3,0.1
NVIDIA Corporation,2910,728,0.37225274725274726,0.32897996672441326,0.32244224422442247,0.2816351613637122,3,0.1
"Tesla, Inc.",2794,698,0.3624641833810888,0.35787613577790367,0.3443298969072165,0.3184078775135004,3,0.1
Alphabet Inc.,2895,724,0.393646408839779,0.30206660519616796,0.32106135986733,0.2999393346885032,4,0.1
"Amazon.com, Inc.",2907,727,0.3314993122420908,0.309816158085487,0.3305785123966942,0.28570243691158936,4,0.1
Apple Inc.,2906,727,0.4250343878954608,0.38605157825404063,0.33190082644628094,0.3052030915207764,4,0.1
"Meta Platforms, Inc.",2412,603,0.29187396351575456,0.29139886755605354,0.3139442231075697,0.2863812165171563,4,0.1
Microsoft Corporation,2906,727,0.39752407152682256,0.326247416277434,0.3461157024793388,0.3059524162310879,4,0.1
NVIDIA Corporation,2910,727,0.3947730398899587,0.3620337825658422,0.33267326732673264,0.28051494539874716,4,0.1
"Tesla, Inc.",2794,698,0.3638968481375358,0.3521511330982839,0.3539518900343642,0.32144377445015926,4,0.1
Alphabet Inc.,2895,724,0.39502762430939226,0.31057821414979286,0.30613598673300163,0.2795181584251755,5,0.1
"Amazon.com, Inc.",2907,727,0.3314993122420908,0.3073357102612422,0.3256198347107438,0.2757387394226959,5,0.1
Apple Inc.,2906,726,0.3512396694214876,0.34923718286601035,0.31933884297520665,0.29760770202424164,5,0.1
"Meta Platforms, Inc.",2411,603,0.29519071310116085,0.27172371261177924,0.30318725099601596,0.2561998960456189,5,0.1
Microsoft Corporation,2906,726,0.41460055096418735,0.28791687335490396,0.35206611570247937,0.3178760171272608,5,0.1
NVIDIA Corporation,2910,727,0.40440165061898214,0.3599835726358022,0.3240924092409241,0.25988912842080975,5,0.1
"Tesla, Inc.",2794,698,0.35816618911174786,0.3411028948944552,0.34329896907216495,0.30532653333599125,5,0.1
