company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2896,724,0.4958563535911602,0.301795407478596,0.6043117744610282,0.3305595073754589,1,0.2
"Amazon.com, Inc.",2908,727,0.2833562585969739,0.192590667805041,0.1947107438016529,0.1411751483818065,1,0.2
Apple Inc.,2908,727,0.16506189821182943,0.14715684690292127,0.3692561983471075,0.2434460508638751,1,0.2
"Meta Platforms, Inc.",2414,603,0.5091210613598673,0.30357243545546436,0.3952191235059761,0.24436797799540128,1,0.2
Microsoft Corporation,2908,727,0.2792297111416781,0.20155311874758366,0.4634710743801653,0.2612015847772207,1,0.2
NVIDIA Corporation,2911,728,0.33791208791208793,0.23233863250257483,0.3227722772277228,0.21473554715875526,1,0.2
"Tesla, Inc.",2795,699,0.3805436337625179,0.24887869385264152,0.2786941580756014,0.19458059254002064,1,0.2
Alphabet Inc.,2895,724,0.5331491712707183,0.34721048997538384,0.5376451077943616,0.35699931102244686,2,0.2
"Amazon.com, Inc.",2908,727,0.3081155433287483,0.27122930832608255,0.2350413223140496,0.2121773296456654,2,0.2
Apple Inc.,2907,727,0.31911966987620355,0.2805402645867687,0.38710743801652886,0.30428474351721174,2,0.2
"Meta Platforms, Inc.",2413,603,0.5356550580431177,0.3611986695983473,0.4191235059760956,0.3014367850903283,2,0.2
Microsoft Corporation,2907,727,0.22696011004126548,0.21009575852011997,0.3289256198347107,0.2480535027080713,2,0.2
NVIDIA Corporation,2910,728,0.41208791208791207,0.33881066382250685,0.3082508250825083,0.2646855461489673,2,0.2
"Tesla, Inc.",2794,699,0.3648068669527897,0.31816152253609536,0.3085910652920962,0.24777370528928055,2,0.2
Alphabet Inc.,2895,724,0.5027624309392266,0.34328625620485215,0.49021558872305143,0.34327062418898185,3,0.2
"Amazon.com, Inc.",2907,727,0.343878954607978,0.2960959840855402,0.2909090909090909,0.2655906215468428,3,0.2
Apple Inc.,2906,727,0.33700137551581844,0.30894688944409454,0.37983471074380165,0.30692416936640543,3,0.2
"Meta Platforms, Inc.",2412,603,0.4709784411276949,0.3762788011012885,0.4521912350597609,0.3176850868706533,3,0.2
Microsoft Corporation,2906,727,0.25722145804676755,0.23952640706792894,0.28826446280991735,0.2619231311447697,3,0.2
NVIDIA Corporation,2910,728,0.4519230769230769,0.3917851824184875,0.32079207920792074,0.27937731210515043,3,0.2
"Tesla, Inc.",2794,698,0.4054441260744986,0.3313798227293037,0.2945017182130584,0.24227756475282453,3,0.2
Alphabet Inc.,2895,724,0.468232044198895,0.3392952000242985,0.4726368159203981,0.34237796892446987,4,0.2
"Amazon.com, Inc.",2907,727,0.3535075653370014,0.3232699624641558,0.328595041322314,0.3047781773982887,4,0.2
Apple Inc.,2906,727,0.3920220082530949,0.3392751405170766,0.37586776859504134,0.31638121168019545,4,0.2
"Meta Platforms, Inc.",2412,603,0.45107794361525705,0.34681488439714586,0.4334661354581673,0.29211335464215993,4,0.2
Microsoft Corporation,2906,727,0.30949105914718017,0.27997914666064133,0.3715702479338844,0.31939770513420646,4,0.2
NVIDIA Corporation,2910,727,0.437414030261348,0.3919304435518734,0.3066006600660066,0.2733244620752876,4,0.2
"Tesla, Inc.",2794,698,0.3237822349570201,0.3171515258938929,0.2865979381443299,0.24562128216362983,4,0.2
Alphabet Inc.,2895,724,0.462707182320442,0.3446239717978849,0.43681592039800987,0.3290724611205875,5,0.2
"Amazon.com, Inc.",2907,727,0.40990371389270974,0.3894366698736298,0.3190082644628099,0.2843143594822234,5,0.2
Apple Inc.,2906,726,0.38292011019283745,0.32667757715177587,0.38578512396694215,0.3339009629620986,5,0.2
"Meta Platforms, Inc.",2411,603,0.4427860696517413,0.335968744569263,0.4099601593625498,0.29990877031689345,5,0.2
Microsoft Corporation,2906,726,0.33746556473829203,0.2915961260085906,0.3950413223140496,0.34001497099866596,5,0.2
NVIDIA Corporation,2910,727,0.4167812929848693,0.3480183955759933,0.30264026402640265,0.2632065442530694,5,0.2
"Tesla, Inc.",2794,698,0.3638968481375358,0.3342068638014184,0.3037800687285223,0.2587925583046417,5,0.2
