company,horizon,down,flat,up
Alphabet Inc.,1,0.35294117647058826,0.23529411764705882,0.4117647058823529
Alphabet Inc.,1,0.1782477341389728,0.5030211480362538,0.3187311178247734
Alphabet Inc.,1,0.10714285714285714,0.39285714285714285,0.5
"Amazon.com, Inc.",1,0.37037037037037035,0.2222222222222222,0.4074074074074074
"Amazon.com, Inc.",1,0.34375,0.27232142857142855,0.38392857142857145
"Amazon.com, Inc.",1,0.25,0.2857142857142857,0.4642857142857143
Apple Inc.,1,0.41379310344827586,0.034482758620689655,0.5517241379310345
Apple Inc.,1,0.23520485584218512,0.12291350531107739,0.6418816388467374
Apple Inc.,1,0.2564102564102564,0.05128205128205128,0.6923076923076923
"Meta Platforms, Inc.",1,0.47619047619047616,0.42857142857142855,0.09523809523809523
"Meta Platforms, Inc.",1,0.3387096774193548,0.5161290322580645,0.14516129032258066
"Meta Platforms, Inc.",1,0.2916666666666667,0.3333333333333333,0.375
Microsoft Corporation,1,0.42857142857142855,0.14285714285714285,0.42857142857142855
Microsoft Corporation,1,0.3057228915662651,0.2605421686746988,0.43373493975903615
Microsoft Corporation,1,0.22857142857142856,0.2571428571428571,0.5142857142857142
NVIDIA Corporation,1,0.6538461538461539,0.15384615384615385,0.19230769230769232
NVIDIA Corporation,1,0.47289156626506024,0.32831325301204817,0.19879518072289157
NVIDIA Corporation,1,0.5526315789473685,0.15789473684210525,0.2894736842105263
"Tesla, Inc.",1,0.42857142857142855,0.2857142857142857,0.2857142857142857
"Tesla, Inc.",1,0.27216174183514774,0.3701399688958009,0.35769828926905134
"Tesla, Inc.",1,0.11428571428571428,0.34285714285714286,0.5428571428571428
Alphabet Inc.,2,0.06382978723404255,0.5212765957446809,0.4148936170212766
Alphabet Inc.,2,0.055865921787709494,0.6238361266294227,0.3202979515828678
Alphabet Inc.,2,0.010752688172043012,0.5053763440860215,0.4838709677419355
"Amazon.com, Inc.",2,0.42857142857142855,0.23809523809523808,0.3333333333333333
"Amazon.com, Inc.",2,0.42066420664206644,0.2822878228782288,0.29704797047970477
"Amazon.com, Inc.",2,0.36633663366336633,0.2871287128712871,0.3465346534653465
Apple Inc.,2,0.15841584158415842,0.26732673267326734,0.5742574257425742
Apple Inc.,2,0.07007575757575757,0.2840909090909091,0.6458333333333334
Apple Inc.,2,0.11224489795918367,0.21428571428571427,0.673469387755102
"Meta Platforms, Inc.",2,0.39285714285714285,0.48214285714285715,0.125
"Meta Platforms, Inc.",2,0.28820960698689957,0.6244541484716157,0.08733624454148471
"Meta Platforms, Inc.",2,0.30337078651685395,0.5280898876404494,0.16853932584269662
Microsoft Corporation,2,0.1827956989247312,0.11827956989247312,0.6989247311827957
Microsoft Corporation,2,0.22180451127819548,0.12969924812030076,0.6484962406015038
Microsoft Corporation,2,0.12745098039215685,0.09803921568627451,0.7745098039215687
NVIDIA Corporation,2,0.2111111111111111,0.4444444444444444,0.34444444444444444
NVIDIA Corporation,2,0.21606118546845124,0.4091778202676864,0.37476099426386233
NVIDIA Corporation,2,0.20869565217391303,0.20869565217391303,0.5826086956521739
"Tesla, Inc.",2,0.3137254901960784,0.3627450980392157,0.3235294117647059
"Tesla, Inc.",2,0.2874743326488706,0.3593429158110883,0.3531827515400411
"Tesla, Inc.",2,0.18181818181818182,0.38181818181818183,0.43636363636363634
Alphabet Inc.,3,0.015748031496062992,0.5354330708661418,0.44881889763779526
Alphabet Inc.,3,0.01818181818181818,0.6522727272727272,0.32954545454545453
Alphabet Inc.,3,0.006369426751592357,0.5159235668789809,0.47770700636942676
"Amazon.com, Inc.",3,0.22950819672131148,0.4016393442622951,0.36885245901639346
"Amazon.com, Inc.",3,0.3034934497816594,0.38209606986899564,0.314410480349345
"Amazon.com, Inc.",3,0.3197278911564626,0.36054421768707484,0.3197278911564626
Apple Inc.,3,0.18333333333333332,0.23333333333333334,0.5833333333333334
Apple Inc.,3,0.11036036036036036,0.268018018018018,0.6216216216216216
Apple Inc.,3,0.10429447852760736,0.25766871165644173,0.6380368098159509
"Meta Platforms, Inc.",3,0.37349397590361444,0.4819277108433735,0.14457831325301204
"Meta Platforms, Inc.",3,0.2868020304568528,0.5634517766497462,0.14974619289340102
"Meta Platforms, Inc.",3,0.25396825396825395,0.5,0.24603174603174602
Microsoft Corporation,3,0.22413793103448276,0.02586206896551724,0.75
Microsoft Corporation,3,0.22483940042826553,0.1006423982869379,0.6745182012847966
Microsoft Corporation,3,0.1388888888888889,0.06944444444444445,0.7916666666666666
NVIDIA Corporation,3,0.2288135593220339,0.4322033898305085,0.3389830508474576
NVIDIA Corporation,3,0.14908256880733944,0.48853211009174313,0.3623853211009174
NVIDIA Corporation,3,0.1724137931034483,0.3160919540229885,0.5114942528735632
"Tesla, Inc.",3,0.2755905511811024,0.5590551181102362,0.16535433070866143
"Tesla, Inc.",3,0.28205128205128205,0.5011655011655012,0.21678321678321677
"Tesla, Inc.",3,0.352112676056338,0.4154929577464789,0.2323943661971831
Alphabet Inc.,4,0.006622516556291391,0.46357615894039733,0.5298013245033113
Alphabet Inc.,4,0.015151515151515152,0.601010101010101,0.3838383838383838
Alphabet Inc.,4,0.022598870056497175,0.4124293785310734,0.5649717514124294
"Amazon.com, Inc.",4,0.27586206896551724,0.3724137931034483,0.35172413793103446
"Amazon.com, Inc.",4,0.3,0.3878048780487805,0.3121951219512195
"Amazon.com, Inc.",4,0.26744186046511625,0.3953488372093023,0.3372093023255814
Apple Inc.,4,0.10810810810810811,0.32432432432432434,0.5675675675675675
Apple Inc.,4,0.08093994778067885,0.34464751958224543,0.5744125326370757
Apple Inc.,4,0.03571428571428571,0.2653061224489796,0.6989795918367347
"Meta Platforms, Inc.",4,0.1504424778761062,0.6460176991150443,0.20353982300884957
"Meta Platforms, Inc.",4,0.16614420062695925,0.6802507836990596,0.1536050156739812
"Meta Platforms, Inc.",4,0.21052631578947367,0.5672514619883041,0.2222222222222222
Microsoft Corporation,4,0.2116788321167883,0.06569343065693431,0.7226277372262774
Microsoft Corporation,4,0.21339950372208435,0.1315136476426799,0.6550868486352357
Microsoft Corporation,4,0.15508021390374332,0.08021390374331551,0.7647058823529411
NVIDIA Corporation,4,0.23255813953488372,0.3875968992248062,0.3798449612403101
NVIDIA Corporation,4,0.19444444444444445,0.4671717171717172,0.3383838383838384
NVIDIA Corporation,4,0.18811881188118812,0.30198019801980197,0.5099009900990099
"Tesla, Inc.",4,0.43137254901960786,0.3006535947712418,0.2679738562091503
"Tesla, Inc.",4,0.36675461741424803,0.28232189973614774,0.35092348284960423
"Tesla, Inc.",4,0.35542168674698793,0.3253012048192771,0.3192771084337349
Alphabet Inc.,5,0.0,0.35542168674698793,0.6445783132530121
Alphabet Inc.,5,0.0,0.5795454545454546,0.42045454545454547
Alphabet Inc.,5,0.0,0.3640776699029126,0.6359223300970874
"Amazon.com, Inc.",5,0.3067484662576687,0.3987730061349693,0.294478527607362
"Amazon.com, Inc.",5,0.26541554959785524,0.4262734584450402,0.30831099195710454
"Amazon.com, Inc.",5,0.2198952879581152,0.31413612565445026,0.46596858638743455
Apple Inc.,5,0.1069182389937107,0.3018867924528302,0.5911949685534591
Apple Inc.,5,0.10086455331412104,0.2564841498559078,0.6426512968299711
Apple Inc.,5,0.045454545454545456,0.17272727272727273,0.7818181818181819
"Meta Platforms, Inc.",5,0.13178294573643412,0.6821705426356589,0.18604651162790697
"Meta Platforms, Inc.",5,0.08960573476702509,0.7741935483870968,0.13620071684587814
"Meta Platforms, Inc.",5,0.1641025641025641,0.6615384615384615,0.17435897435897435
Microsoft Corporation,5,0.1554054054054054,0.10135135135135136,0.7432432432432432
Microsoft Corporation,5,0.1553133514986376,0.15258855585831063,0.6920980926430518
Microsoft Corporation,5,0.10900473933649289,0.10426540284360189,0.7867298578199052
NVIDIA Corporation,5,0.07792207792207792,0.38961038961038963,0.5324675324675324
NVIDIA Corporation,5,0.07142857142857142,0.48857142857142855,0.44
NVIDIA Corporation,5,0.1031390134529148,0.35874439461883406,0.5381165919282511
"Tesla, Inc.",5,0.42777777777777776,0.45555555555555555,0.11666666666666667
"Tesla, Inc.",5,0.34421364985163205,0.4332344213649852,0.22255192878338279
