company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2896,724,0.4558011049723757,0.2617397693008691,0.40199004975124375,0.281140864134999,1,0.2
"Amazon.com, Inc.",2908,727,0.49931224209078406,0.3485537727529391,0.4446280991735537,0.3060352866207098,1,0.2
Apple Inc.,2908,727,0.4786795048143054,0.3513514970221252,0.4413223140495868,0.26912796770464187,1,0.2
"Meta Platforms, Inc.",2414,603,0.4975124378109453,0.3484452538128841,0.4294820717131474,0.2877056830177473,1,0.2
Microsoft Corporation,2908,727,0.4731774415405777,0.3257152305043387,0.4102479338842976,0.3138745422753286,1,0.2
NVIDIA Corporation,2911,728,0.4958791208791209,0.33605596740578575,0.42607260726072604,0.2825520951529465,1,0.2
"Tesla, Inc.",2795,699,0.4792560801144492,0.33031201341478017,0.4518900343642612,0.28994205595461575,1,0.2
Alphabet Inc.,2895,724,0.4986187845303867,0.2485904054651755,0.40497512437810945,0.2778475940541368,2,0.2
"Amazon.com, Inc.",2908,727,0.47042640990371387,0.31337431487646566,0.4307438016528926,0.27335216648585675,2,0.2
Apple Inc.,2907,727,0.49793672627235214,0.3455109416740112,0.4492561983471074,0.2741957454932801,2,0.2
"Meta Platforms, Inc.",2413,603,0.46766169154228854,0.315610041930157,0.42988047808764945,0.26532078578247115,2,0.2
Microsoft Corporation,2907,727,0.5075653370013755,0.30184812867305905,0.43966942148760335,0.2965125267183596,2,0.2
NVIDIA Corporation,2910,728,0.4642857142857143,0.32006564235007684,0.4303630363036303,0.2678274615136042,2,0.2
"Tesla, Inc.",2794,699,0.5264663805436338,0.3540513081026162,0.4621993127147766,0.28798512153347144,2,0.2
Alphabet Inc.,2895,724,0.505524861878453,0.2652238325281804,0.42321724709784403,0.25296613032856374,3,0.2
"Amazon.com, Inc.",2907,727,0.48005502063273725,0.3152901152901153,0.43801652892561976,0.2824684065408102,3,0.2
Apple Inc.,2906,727,0.4731774415405777,0.3201530888239749,0.45090909090909087,0.27198539567059593,3,0.2
"Meta Platforms, Inc.",2412,603,0.439469320066335,0.2984672877157111,0.4426294820717131,0.2696583370292535,3,0.2
Microsoft Corporation,2906,727,0.48830811554332876,0.2662823562902865,0.47471074380165296,0.29727658840971977,3,0.2
NVIDIA Corporation,2910,728,0.4835164835164835,0.3224332438188123,0.4303630363036303,0.27465491879903287,3,0.2
"Tesla, Inc.",2794,698,0.5343839541547278,0.3573590037825662,0.4549828178694158,0.302602111530421,3,0.2
Alphabet Inc.,2895,724,0.5124309392265194,0.258224420612754,0.41691542288557215,0.2481156112241097,4,0.2
"Amazon.com, Inc.",2907,727,0.4938101788170564,0.3234130210874397,0.4380165289256198,0.27455282685600707,4,0.2
Apple Inc.,2906,727,0.44291609353507566,0.30270997215689455,0.4694214876033057,0.27953754828076627,4,0.2
"Meta Platforms, Inc.",2412,603,0.4295190713101161,0.29006486315456415,0.44462151394422306,0.2726935807589457,4,0.2
Microsoft Corporation,2906,727,0.515818431911967,0.2719201741628609,0.46314049586776856,0.3066302585150806,4,0.2
NVIDIA Corporation,2910,727,0.4786795048143054,0.32205622989936716,0.42772277227722777,0.27185903338180356,4,0.2
"Tesla, Inc.",2794,698,0.5429799426934098,0.36473616857698515,0.48178694158075597,0.3009753626216388,4,0.2
Alphabet Inc.,2895,724,0.5138121546961326,0.2661804293694057,0.4182421227197347,0.24527165689433258,5,0.2
"Amazon.com, Inc.",2907,727,0.4855570839064649,0.304240626912765,0.43272727272727274,0.2680850069585766,5,0.2
Apple Inc.,2906,726,0.44352617079889806,0.2677748357360008,0.42611570247933883,0.26535298611330205,5,0.2
"Meta Platforms, Inc.",2411,603,0.42122719734660036,0.2848613424838276,0.46494023904382475,0.29148865547893255,5,0.2
Microsoft Corporation,2906,726,0.5537190082644629,0.2835658914728682,0.47504132231404955,0.3141518273997849,5,0.2
NVIDIA Corporation,2910,727,0.45529573590096284,0.30357404270447746,0.41551155115511557,0.2539115975389251,5,0.2
"Tesla, Inc.",2794,698,0.5515759312320917,0.3679057828263446,0.47079037800687284,0.2950946260304852,5,0.2
