company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2896,724,0.914364640883978,0.31842231842231844,0.9104477611940298,0.3240939187587243,1,0.2
"Amazon.com, Inc.",2908,727,0.9188445667125172,0.31923536439665473,0.9090909090909092,0.31744170436918295,1,0.2
Apple Inc.,2908,727,0.9050894085281981,0.31672683513838745,0.8975206611570247,0.3153053643473416,1,0.2
"Meta Platforms, Inc.",2414,603,0.9253731343283582,0.3204134366925065,0.9175298804780876,0.3189927214040741,1,0.2
Microsoft Corporation,2908,727,0.9133425034387895,0.3182362808531033,0.9226446280991736,0.3199055793813489,1,0.2
NVIDIA Corporation,2911,728,0.9093406593406593,0.31750599520383693,0.9128712871287128,0.3181790678736863,1,0.2
"Tesla, Inc.",2795,699,0.9198855507868383,0.3194237456532539,0.8996563573883162,0.3156808403336754,1,0.2
Alphabet Inc.,2895,724,0.738950276243094,0.35556393497569966,0.6805970149253733,0.30901033339720035,2,0.2
"Amazon.com, Inc.",2908,727,0.7083906464924347,0.30599230996746524,0.7239669421487603,0.290634024597152,2,0.2
Apple Inc.,2907,727,0.7262723521320495,0.2804780876494024,0.6300826446280993,0.295488491852704,2,0.2
"Meta Platforms, Inc.",2413,603,0.7429519071310116,0.291172274844668,0.750597609561753,0.3045148698645246,2,0.2
Microsoft Corporation,2907,727,0.7331499312242091,0.3004566073921706,0.696198347107438,0.2965548138838941,2,0.2
NVIDIA Corporation,2910,728,0.4519230769230769,0.2739861933552497,0.5831683168316831,0.28481064603130096,2,0.2
"Tesla, Inc.",2794,699,0.6924177396280401,0.3163706342000916,0.70446735395189,0.2979230620652623,2,0.2
Alphabet Inc.,2895,724,0.5248618784530387,0.3141241908463785,0.48358208955223886,0.30425858303004666,3,0.2
"Amazon.com, Inc.",2907,727,0.4676753782668501,0.2957052819202995,0.495206611570248,0.29069689394501247,3,0.2
Apple Inc.,2906,727,0.4236588720770289,0.3205322550580003,0.515702479338843,0.2792651474640041,3,0.2
"Meta Platforms, Inc.",2412,603,0.5737976782752903,0.2949610475311573,0.5338645418326693,0.2750047966516135,3,0.2
Microsoft Corporation,2906,727,0.5694635488308115,0.3066817370222943,0.5226446280991736,0.26887189022206803,3,0.2
NVIDIA Corporation,2910,728,0.46016483516483514,0.2899703075782684,0.4801980198019802,0.28623130306801253,3,0.2
"Tesla, Inc.",2794,698,0.5916905444126075,0.34982651476618076,0.5673539518900343,0.3025039754079471,3,0.2
Alphabet Inc.,2895,724,0.48204419889502764,0.31442279451129007,0.40663349917081265,0.2697961432182786,4,0.2
"Amazon.com, Inc.",2907,727,0.4016506189821183,0.3038161163161163,0.423801652892562,0.27548571869335853,4,0.2
Apple Inc.,2906,727,0.4621733149931224,0.3055146817007282,0.41685950413223144,0.2796219347394749,4,0.2
"Meta Platforms, Inc.",2412,603,0.44776119402985076,0.3110536956170144,0.41633466135458164,0.2557307708742772,4,0.2
Microsoft Corporation,2906,727,0.53232462173315,0.2885333715952842,0.4690909090909091,0.27064263752885126,4,0.2
NVIDIA Corporation,2910,727,0.4126547455295736,0.2930036911333677,0.36105610561056106,0.24628805766681058,4,0.2
"Tesla, Inc.",2794,698,0.501432664756447,0.40636485401163397,0.45326460481099656,0.32764234178701124,4,0.2
Alphabet Inc.,2895,724,0.44337016574585636,0.33064514155226554,0.37810945273631846,0.2694501120253388,5,0.2
"Amazon.com, Inc.",2907,727,0.390646492434663,0.3178899053559932,0.3699173553719008,0.27298032082323714,5,0.2
Apple Inc.,2906,726,0.43112947658402206,0.2377776195999123,0.40066115702479344,0.28742852299696287,5,0.2
"Meta Platforms, Inc.",2411,603,0.38474295190713104,0.28552256298576245,0.36932270916334664,0.2527867809014036,5,0.2
Microsoft Corporation,2906,726,0.4820936639118457,0.3137130495021758,0.4059504132231405,0.2842680557103615,5,0.2
NVIDIA Corporation,2910,727,0.4154057771664374,0.30353914781730545,0.3254125412541254,0.24811453677152354,5,0.2
"Tesla, Inc.",2794,698,0.4154727793696275,0.38336701455677863,0.38281786941580753,0.31963824372624383,5,0.2
