company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2896,724,0.5662983425414365,0.3383013492729307,0.582089552238806,0.29841477303854436,1,0.1
"Amazon.com, Inc.",2908,727,0.5818431911966988,0.31773321659156756,0.5616528925619834,0.30130002233875575,1,0.1
Apple Inc.,2908,727,0.6052269601100413,0.25157232704402516,0.5226446280991736,0.2936815044526578,1,0.1
"Meta Platforms, Inc.",2414,603,0.6550580431177446,0.30317231887658225,0.649402390438247,0.2967846430065851,1,0.1
Microsoft Corporation,2908,727,0.6258596973865199,0.3011544011544011,0.6218181818181818,0.29249934875566197,1,0.1
NVIDIA Corporation,2911,728,0.6373626373626373,0.3040090410905875,0.5412541254125414,0.29943595136610685,1,0.1
"Tesla, Inc.",2795,699,0.580829756795422,0.2975469181425508,0.6340206185567011,0.28952992827422536,1,0.1
Alphabet Inc.,2895,724,0.3770718232044199,0.30949821626121277,0.3704809286898839,0.3154089997335731,2,0.1
"Amazon.com, Inc.",2908,727,0.31636863823933975,0.3028537191593174,0.3140495867768595,0.28289194294561015,2,0.1
Apple Inc.,2907,727,0.35900962861072905,0.3509693823198427,0.36760330578512396,0.30442534603858423,2,0.1
"Meta Platforms, Inc.",2413,603,0.3681592039800995,0.3276384701583575,0.34023904382470116,0.28270149333032013,2,0.1
Microsoft Corporation,2907,727,0.38376891334250346,0.32124340088248043,0.3722314049586777,0.29143049567654633,2,0.1
NVIDIA Corporation,2910,728,0.30357142857142855,0.29818761558791423,0.27887788778877887,0.24686536984475907,2,0.1
"Tesla, Inc.",2794,699,0.39341917024320455,0.36900530873950976,0.3766323024054983,0.30433274560810164,2,0.1
Alphabet Inc.,2895,724,0.356353591160221,0.2855975542235382,0.3131011608623549,0.2757654156962484,3,0.1
"Amazon.com, Inc.",2907,727,0.3177441540577717,0.2939705923198901,0.2928925619834711,0.24238947258720897,3,0.1
Apple Inc.,2906,727,0.33837689133425036,0.2926656460936014,0.31636363636363635,0.2780150043824334,3,0.1
"Meta Platforms, Inc.",2412,603,0.3167495854063018,0.31394735915449773,0.33027888446215137,0.2830986726223999,3,0.1
Microsoft Corporation,2906,727,0.3576341127922971,0.2960171527590138,0.32826446280991733,0.26787442891890356,3,0.1
NVIDIA Corporation,2910,728,0.3241758241758242,0.2993003918775886,0.2947194719471947,0.24902518810823518,3,0.1
"Tesla, Inc.",2794,698,0.3968481375358166,0.3933838976046324,0.3326460481099656,0.29904899839560567,3,0.1
Alphabet Inc.,2895,724,0.393646408839779,0.2930499273089442,0.31475953565505804,0.2620063870698547,4,0.1
"Amazon.com, Inc.",2907,727,0.3328748280605227,0.30116228738282774,0.315702479338843,0.25296045208698426,4,0.1
Apple Inc.,2906,727,0.3452544704264099,0.2597138863695116,0.3322314049586777,0.28505034264533696,4,0.1
"Meta Platforms, Inc.",2412,603,0.26865671641791045,0.2674929425149216,0.3147410358565737,0.26313433687485305,4,0.1
Microsoft Corporation,2906,727,0.34800550206327374,0.2925887467154969,0.33355371900826447,0.2827889973060428,4,0.1
NVIDIA Corporation,2910,727,0.29160935350756534,0.2684134292245404,0.3056105610561056,0.2362981351387413,4,0.1
"Tesla, Inc.",2794,698,0.38968481375358166,0.3730802972048661,0.3319587628865979,0.28357603864575565,4,0.1
Alphabet Inc.,2895,724,0.40331491712707185,0.2847392864177212,0.3147595356550581,0.25776461623334884,5,0.1
"Amazon.com, Inc.",2907,727,0.3452544704264099,0.3018289137732517,0.32,0.2601337892104347,5,0.1
Apple Inc.,2906,726,0.2865013774104683,0.24123320752534236,0.31933884297520665,0.2870795918864121,5,0.1
"Meta Platforms, Inc.",2411,603,0.29519071310116085,0.2737150918909525,0.2972111553784861,0.24103027064914057,5,0.1
Microsoft Corporation,2906,726,0.42424242424242425,0.28628113458843646,0.33355371900826447,0.2942324191919018,5,0.1
NVIDIA Corporation,2910,727,0.3149931224209078,0.28991901682042526,0.30528052805280526,0.2330727719667752,5,0.1
"Tesla, Inc.",2794,698,0.4068767908309456,0.36054318741491936,0.32920962199312714,0.2770461813379658,5,0.1
