company,horizon,down,flat,up
Alphabet Inc.,1,0.0,0.8387096774193549,0.16129032258064516
Alphabet Inc.,1,0.004347826086956522,0.7934782608695652,0.20217391304347826
Alphabet Inc.,1,0.0,0.6785714285714286,0.32142857142857145
"Amazon.com, Inc.",1,0.022900763358778626,0.8625954198473282,0.11450381679389313
"Amazon.com, Inc.",1,0.03056768558951965,0.8755458515283843,0.09388646288209607
"Amazon.com, Inc.",1,0.014492753623188406,0.8478260869565217,0.13768115942028986
Apple Inc.,1,0.0,1.0,0.0
Apple Inc.,1,0.017857142857142856,0.9821428571428571,0.0
Apple Inc.,1,0.006802721088435374,0.9931972789115646,0.0
"Meta Platforms, Inc.",1,0.024390243902439025,0.9390243902439024,0.036585365853658534
"Meta Platforms, Inc.",1,0.0024813895781637717,0.9627791563275434,0.034739454094292806
"Meta Platforms, Inc.",1,0.0,0.9576271186440678,0.0423728813559322
Microsoft Corporation,1,0.0,0.975609756097561,0.024390243902439025
Microsoft Corporation,1,0.0,0.9486081370449678,0.05139186295503212
Microsoft Corporation,1,0.0,0.9124087591240876,0.08759124087591241
NVIDIA Corporation,1,0.05555555555555555,0.9259259259259259,0.018518518518518517
NVIDIA Corporation,1,0.014925373134328358,0.9701492537313433,0.014925373134328358
NVIDIA Corporation,1,0.019867549668874173,0.9602649006622517,0.019867549668874173
"Tesla, Inc.",1,0.03816793893129771,0.9389312977099237,0.022900763358778626
"Tesla, Inc.",1,0.056074766355140186,0.9182242990654206,0.02570093457943925
"Tesla, Inc.",1,0.02142857142857143,0.9214285714285714,0.05714285714285714
Alphabet Inc.,2,0.03,0.44,0.53
Alphabet Inc.,2,0.05704697986577181,0.4563758389261745,0.4865771812080537
Alphabet Inc.,2,0.02654867256637168,0.3938053097345133,0.5796460176991151
"Amazon.com, Inc.",2,0.17733990147783252,0.37438423645320196,0.4482758620689655
"Amazon.com, Inc.",2,0.19937694704049844,0.2866043613707165,0.514018691588785
"Amazon.com, Inc.",2,0.13793103448275862,0.35960591133004927,0.5024630541871922
Apple Inc.,2,0.29381443298969073,0.4329896907216495,0.27319587628865977
Apple Inc.,2,0.26101694915254237,0.4101694915254237,0.3288135593220339
Apple Inc.,2,0.25630252100840334,0.3949579831932773,0.3487394957983193
"Meta Platforms, Inc.",2,0.2905405405405405,0.527027027027027,0.18243243243243243
"Meta Platforms, Inc.",2,0.31985294117647056,0.5404411764705882,0.13970588235294118
"Meta Platforms, Inc.",2,0.3224043715846995,0.5027322404371585,0.17486338797814208
Microsoft Corporation,2,0.054945054945054944,0.3131868131868132,0.6318681318681318
Microsoft Corporation,2,0.05396825396825397,0.43492063492063493,0.5111111111111111
Microsoft Corporation,2,0.0391304347826087,0.3869565217391304,0.5739130434782609
NVIDIA Corporation,2,0.5543478260869565,0.1793478260869565,0.266304347826087
NVIDIA Corporation,2,0.5423728813559322,0.18305084745762712,0.2745762711864407
NVIDIA Corporation,2,0.5903614457831325,0.14859437751004015,0.26104417670682734
"Tesla, Inc.",2,0.31797235023041476,0.5207373271889401,0.16129032258064516
"Tesla, Inc.",2,0.22661870503597123,0.5683453237410072,0.20503597122302158
"Tesla, Inc.",2,0.25980392156862747,0.5049019607843137,0.23529411764705882
Alphabet Inc.,3,0.02666666666666667,0.24888888888888888,0.7244444444444444
Alphabet Inc.,3,0.03361344537815126,0.3277310924369748,0.6386554621848739
Alphabet Inc.,3,0.019157088122605363,0.31417624521072796,0.6666666666666666
"Amazon.com, Inc.",3,0.22317596566523606,0.18025751072961374,0.5965665236051502
"Amazon.com, Inc.",3,0.1953125,0.15234375,0.65234375
"Amazon.com, Inc.",3,0.21428571428571427,0.19747899159663865,0.5882352941176471
Apple Inc.,3,0.7737556561085973,0.11764705882352941,0.1085972850678733
Apple Inc.,3,0.7292576419213974,0.13100436681222707,0.13973799126637554
Apple Inc.,3,0.7328519855595668,0.10469314079422383,0.1624548736462094
"Meta Platforms, Inc.",3,0.39080459770114945,0.3505747126436782,0.25862068965517243
"Meta Platforms, Inc.",3,0.44761904761904764,0.3619047619047619,0.19047619047619047
"Meta Platforms, Inc.",3,0.4337899543378995,0.3515981735159817,0.2146118721461187
Microsoft Corporation,3,0.04,0.53,0.43
Microsoft Corporation,3,0.047244094488188976,0.5866141732283464,0.3661417322834646
Microsoft Corporation,3,0.054945054945054944,0.5677655677655677,0.3772893772893773
NVIDIA Corporation,3,0.4900990099009901,0.10396039603960396,0.40594059405940597
NVIDIA Corporation,3,0.49586776859504134,0.10330578512396695,0.40082644628099173
NVIDIA Corporation,3,0.5176056338028169,0.0880281690140845,0.39436619718309857
"Tesla, Inc.",3,0.48945147679324896,0.25316455696202533,0.25738396624472576
"Tesla, Inc.",3,0.3652173913043478,0.391304347826087,0.24347826086956523
"Tesla, Inc.",3,0.43722943722943725,0.2554112554112554,0.30735930735930733
Alphabet Inc.,4,0.04918032786885246,0.10655737704918032,0.8442622950819673
Alphabet Inc.,4,0.07142857142857142,0.19387755102040816,0.7346938775510204
Alphabet Inc.,4,0.02464788732394366,0.14788732394366197,0.8274647887323944
"Amazon.com, Inc.",4,0.17167381974248927,0.26180257510729615,0.5665236051502146
"Amazon.com, Inc.",4,0.23504273504273504,0.19658119658119658,0.5683760683760684
"Amazon.com, Inc.",4,0.23846153846153847,0.16153846153846155,0.6
Apple Inc.,4,0.7801724137931034,0.008620689655172414,0.21120689655172414
Apple Inc.,4,0.8040201005025126,0.010050251256281407,0.18592964824120603
Apple Inc.,4,0.7331081081081081,0.037162162162162164,0.22972972972972974
"Meta Platforms, Inc.",4,0.3370165745856354,0.27624309392265195,0.3867403314917127
"Meta Platforms, Inc.",4,0.4860335195530726,0.24581005586592178,0.2681564245810056
"Meta Platforms, Inc.",4,0.43621399176954734,0.3292181069958848,0.2345679012345679
Microsoft Corporation,4,0.041474654377880185,0.47465437788018433,0.4838709677419355
Microsoft Corporation,4,0.03827751196172249,0.48325358851674644,0.4784688995215311
