company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2896,724,0.8977900552486188,0.36227541512025146,0.8484245439469319,0.33868814934266134,1,0.2
"Amazon.com, Inc.",2908,727,0.8954607977991746,0.3311826432217811,0.8720661157024793,0.335743992378304,1,0.2
Apple Inc.,2908,727,0.796423658872077,0.32854116408077294,0.848595041322314,0.33673694127625037,1,0.2
"Meta Platforms, Inc.",2414,603,0.9087893864013267,0.3384872241579559,0.9011952191235059,0.3160377619770906,1,0.2
Microsoft Corporation,2908,727,0.9037138927097662,0.33195346593522473,0.8998347107438016,0.320892230831364,1,0.2
NVIDIA Corporation,2911,728,0.8598901098901099,0.34810334942388427,0.8458745874587459,0.3420893177638501,1,0.2
"Tesla, Inc.",2795,699,0.894134477825465,0.34907304808745293,0.8505154639175257,0.3265325014796019,1,0.2
Alphabet Inc.,2895,724,0.7099447513812155,0.3349782135076253,0.6046434494195688,0.33494647278243644,2,0.2
"Amazon.com, Inc.",2908,727,0.6698762035763411,0.3108350895515893,0.5533884297520661,0.3121279182015374,2,0.2
Apple Inc.,2907,727,0.7070151306740028,0.29286881021636396,0.5768595041322314,0.31832700822706317,2,0.2
"Meta Platforms, Inc.",2413,603,0.7180762852404643,0.3179215814556114,0.6996015936254979,0.33171983879662853,2,0.2
Microsoft Corporation,2907,727,0.6918844566712518,0.35672499501012095,0.6588429752066115,0.3059499845237384,2,0.2
NVIDIA Corporation,2910,728,0.4793956043956044,0.32235188996608033,0.5105610561056105,0.2925156327728744,2,0.2
"Tesla, Inc.",2794,699,0.6108726752503576,0.35992938607632224,0.6120274914089346,0.3307130527512383,2,0.2
Alphabet Inc.,2895,724,0.5013812154696132,0.3321409094784547,0.4338308457711443,0.3056922812721443,3,0.2
"Amazon.com, Inc.",2907,727,0.469050894085282,0.30437246845586735,0.447603305785124,0.311354949086461,3,0.2
Apple Inc.,2906,727,0.40852819807427787,0.3348540514352618,0.48198347107438017,0.2995390018880676,3,0.2
"Meta Platforms, Inc.",2412,603,0.5505804311774462,0.2899364010475121,0.5107569721115538,0.3075891107297607,3,0.2
Microsoft Corporation,2906,727,0.6162310866574966,0.3179137970679111,0.5001652892561983,0.2959882381530946,3,0.2
NVIDIA Corporation,2910,728,0.5302197802197802,0.32038922881330706,0.40561056105610555,0.2830611334012255,3,0.2
"Tesla, Inc.",2794,698,0.5272206303724928,0.35558623506157044,0.49828178694158076,0.33219721559183296,3,0.2
Alphabet Inc.,2895,724,0.4447513812154696,0.3167032238921638,0.3930348258706468,0.2919171085568804,4,0.2
"Amazon.com, Inc.",2907,727,0.4030261348005502,0.29413822358545977,0.419504132231405,0.30507325386200873,4,0.2
Apple Inc.,2906,727,0.3892709766162311,0.2955114488122451,0.39834710743801655,0.2925124170877159,4,0.2
"Meta Platforms, Inc.",2412,603,0.4577114427860697,0.31058385746126155,0.38764940239043827,0.28166218768603635,4,0.2
Microsoft Corporation,2906,727,0.547455295735901,0.3171288246151477,0.4380165289256198,0.3005280749400714,4,0.2
NVIDIA Corporation,2910,727,0.5240715268225584,0.3117216126090608,0.31617161716171616,0.2419059419156146,4,0.2
"Tesla, Inc.",2794,698,0.4283667621776504,0.3797984915006192,0.41683848797250855,0.335949557642192,4,0.2
Alphabet Inc.,2895,724,0.42955801104972374,0.3262071238903604,0.35522388059701493,0.2894101792505722,5,0.2
"Amazon.com, Inc.",2907,727,0.3920220082530949,0.3126531620989452,0.37884297520661153,0.2997227324666646,5,0.2
Apple Inc.,2906,726,0.38016528925619836,0.27874239643326265,0.3709090909090909,0.3087965628328864,5,0.2
"Meta Platforms, Inc.",2411,603,0.3416252072968491,0.26379619685862976,0.349402390438247,0.29383930230209226,5,0.2
Microsoft Corporation,2906,726,0.4931129476584022,0.31545261427503063,0.41421487603305784,0.3131446228512974,5,0.2
NVIDIA Corporation,2910,727,0.4497936726272352,0.27479978240075065,0.3118811881188119,0.24724537810743458,5,0.2
"Tesla, Inc.",2794,698,0.40257879656160456,0.38089802104092535,0.37903780068728526,0.34101131818669395,5,0.2
