company,n_train,n_test,acc_test,f1_macro_test,acc_cv_mean,f1_macro_cv_mean,horizon,flat_threshold_pct
Alphabet Inc.,2896,724,0.48342541436464087,0.3460696031753137,0.5402985074626866,0.3382151927374969,1,0.1
"Amazon.com, Inc.",2908,727,0.5378266850068776,0.36556257058976677,0.4621487603305785,0.30264628780877895,1,0.1
Apple Inc.,2908,727,0.5639614855570839,0.316585761134354,0.4608264462809918,0.30365714548323564,1,0.1
"Meta Platforms, Inc.",2414,603,0.6169154228855721,0.35209338553807507,0.6095617529880478,0.32268834820255055,1,0.1
Microsoft Corporation,2908,727,0.5832187070151307,0.3195681412241922,0.571900826446281,0.3216366531678422,1,0.1
NVIDIA Corporation,2911,728,0.6071428571428571,0.3806448778773502,0.5069306930693069,0.3393370974863116,1,0.1
"Tesla, Inc.",2795,699,0.5178826895565093,0.35152712820850623,0.5580756013745705,0.3341621483408398,1,0.1
Alphabet Inc.,2895,724,0.3756906077348066,0.32931992665852183,0.35887230514096186,0.3113006102274192,2,0.1
"Amazon.com, Inc.",2908,727,0.33012379642365886,0.3151868491520622,0.31834710743801653,0.2999690861853226,2,0.1
Apple Inc.,2907,727,0.36176066024759285,0.3600673691187731,0.36132231404958676,0.31623103426817717,2,0.1
"Meta Platforms, Inc.",2413,603,0.3814262023217247,0.3497443766940132,0.3286852589641434,0.2879267424216446,2,0.1
Microsoft Corporation,2907,727,0.3672627235213205,0.31990709389843813,0.3573553719008265,0.31647286736024693,2,0.1
NVIDIA Corporation,2910,728,0.34203296703296704,0.31409024200995006,0.30363036303630364,0.26592139858986236,2,0.1
"Tesla, Inc.",2794,699,0.3776824034334764,0.36274695257335604,0.36907216494845363,0.32577307576714404,2,0.1
Alphabet Inc.,2895,724,0.35220994475138123,0.2995674992672599,0.3137645107794361,0.2795203465419103,3,0.1
"Amazon.com, Inc.",2907,727,0.3356258596973865,0.32384995900830227,0.3084297520661157,0.27318752560125237,3,0.1
Apple Inc.,2906,727,0.3246217331499312,0.318893668635187,0.3176859504132231,0.2856905520043982,3,0.1
"Meta Platforms, Inc.",2412,603,0.32669983416252074,0.3272181207165727,0.3203187250996016,0.28368297381242125,3,0.1
Microsoft Corporation,2906,727,0.3466299862448418,0.3319855441345943,0.33157024793388434,0.29395302081240837,3,0.1
NVIDIA Corporation,2910,728,0.36126373626373626,0.35117822426322337,0.2986798679867987,0.2644069682064313,3,0.1
"Tesla, Inc.",2794,698,0.39255014326647564,0.3912654517770073,0.33676975945017185,0.31653354435977493,3,0.1
Alphabet Inc.,2895,724,0.36464088397790057,0.2733141672331725,0.3230514096185738,0.2669088955252116,4,0.1
"Amazon.com, Inc.",2907,727,0.33012379642365886,0.31184845121974963,0.3176859504132231,0.2736252210275526,4,0.1
Apple Inc.,2906,727,0.3356258596973865,0.31498642249042796,0.3100826446280992,0.2803286124743841,4,0.1
"Meta Platforms, Inc.",2412,603,0.29187396351575456,0.2894042263469478,0.32231075697211153,0.29015249665979465,4,0.1
Microsoft Corporation,2906,727,0.343878954607978,0.3112532869524782,0.3239669421487603,0.30201461104813193,4,0.1
NVIDIA Corporation,2910,727,0.34112792297111416,0.3365601136772547,0.3217821782178218,0.2785754747394716,4,0.1
"Tesla, Inc.",2794,698,0.37965616045845274,0.3651257904183541,0.3395189003436426,0.30935467250585724,4,0.1
Alphabet Inc.,2895,724,0.393646408839779,0.30723425938925025,0.3207296849087894,0.2719314068085189,5,0.1
"Amazon.com, Inc.",2907,727,0.33837689133425036,0.30922128933440146,0.3166942148760331,0.27481821132719814,5,0.1
Apple Inc.,2906,726,0.3319559228650138,0.280045315995026,0.3150413223140496,0.28262138132698106,5,0.1
"Meta Platforms, Inc.",2411,603,0.2935323383084577,0.27575549502991753,0.32788844621513946,0.28987341251055954,5,0.1
Microsoft Corporation,2906,726,0.3443526170798898,0.29687213829092,0.3464462809917356,0.3276805508191302,5,0.1
NVIDIA Corporation,2910,727,0.297111416781293,0.2914332454455596,0.31254125412541256,0.24983314180614938,5,0.1
"Tesla, Inc.",2794,698,0.39255014326647564,0.35548651042493584,0.3213058419243986,0.2846668423532778,5,0.1
