company,horizon,down,flat,up
Alphabet Inc.,1,0.056451612903225805,0.5645161290322581,0.3790322580645161
Alphabet Inc.,1,0.02826086956521739,0.6021739130434782,0.3695652173913043
Alphabet Inc.,1,0.014285714285714285,0.5142857142857142,0.4714285714285714
"Amazon.com, Inc.",1,0.11450381679389313,0.732824427480916,0.15267175572519084
"Amazon.com, Inc.",1,0.12008733624454149,0.7489082969432315,0.13100436681222707
"Amazon.com, Inc.",1,0.07971014492753623,0.6811594202898551,0.2391304347826087
Apple Inc.,1,0.21212121212121213,0.7803030303030303,0.007575757575757576
Apple Inc.,1,0.140625,0.8526785714285714,0.006696428571428571
Apple Inc.,1,0.17687074829931973,0.8231292517006803,0.0
"Meta Platforms, Inc.",1,0.12195121951219512,0.7926829268292683,0.08536585365853659
"Meta Platforms, Inc.",1,0.04714640198511166,0.8734491315136477,0.0794044665012407
"Meta Platforms, Inc.",1,0.025423728813559324,0.8898305084745762,0.0847457627118644
Microsoft Corporation,1,0.04065040650406504,0.9024390243902439,0.056910569105691054
Microsoft Corporation,1,0.055674518201284794,0.8629550321199143,0.08137044967880086
Microsoft Corporation,1,0.021897810218978103,0.8613138686131386,0.11678832116788321
NVIDIA Corporation,1,0.17592592592592593,0.7685185185185185,0.05555555555555555
NVIDIA Corporation,1,0.07036247334754797,0.8656716417910447,0.06396588486140725
NVIDIA Corporation,1,0.052980132450331126,0.8344370860927153,0.11258278145695365
"Tesla, Inc.",1,0.1450381679389313,0.7480916030534351,0.10687022900763359
"Tesla, Inc.",1,0.1378504672897196,0.7453271028037384,0.11682242990654206
"Tesla, Inc.",1,0.18571428571428572,0.6428571428571429,0.17142857142857143
Alphabet Inc.,2,0.09,0.3,0.61
Alphabet Inc.,2,0.13087248322147652,0.3389261744966443,0.5302013422818792
Alphabet Inc.,2,0.0752212389380531,0.24778761061946902,0.6769911504424779
"Amazon.com, Inc.",2,0.18226600985221675,0.4187192118226601,0.39901477832512317
"Amazon.com, Inc.",2,0.2367601246105919,0.35202492211838005,0.411214953271028
"Amazon.com, Inc.",2,0.21182266009852216,0.3448275862068966,0.4433497536945813
